time,value,predict
1078941600,1360,1078941600
1078945200,1292,0
1078948800,1402,0
1078952400,1376,0
1078956000,1272,0
1078959600,1197,0
1078963200,1185,0
1078966800,1136,0
1078970400,1094,0
1078974000,1010,0
1078977600,1011,0
1078981200,1066,0
1078984800,1052,0
1078988400,1144,0
1078992000,1333,0
1078995600,1351,0
1078999200,1233,0
1079002800,1179,0
1079006400,1236,0
1079010000,1286,0
1079013600,1371,0
1079017200,1310,0
1079020800,1292,0
1079024400,1383,0
1079028000,1581,0
1079031600,1776,0
1079035200,1640,0
1079038800,1313,0
1079042400,965,0
1079046000,913,0
1079049600,1080,0
1079053200,1044,0
1079056800,988,0
1079060400,889,0
1079064000,831,0
1079067600,847,0
1079071200,927,0
1079074800,1091,0
1079078400,1587,0
1079082000,1545,0
1079085600,1350,0
1079089200,1263,0
1079092800,1206,0
1079096400,1252,0
1079100000,1287,0
1079103600,1353,0
1079107200,1309,0
1079110800,1274,0
1079114400,1510,0
1079118000,1525,0
1079121600,1843,0
1079125200,1598,0
1079128800,1484,0
1079132400,1677,0
1079136000,1280,0
1079139600,1196,0
1079143200,1184,0
1079146800,1172,0
1079150400,1147,0
1079154000,978,0
1079157600,1100,0
1079161200,1112,0
1079164800,1336,0
1079168400,1408,0
1079172000,1447,0
1079175600,1542,0
1079179200,1451,0
1079182800,1328,0
1079186400,1207,0
1079190000,1240,0
1079193600,1306,0
1079197200,1326,0
1079200800,1473,0
1079204400,1609,0
1079208000,1611,0
1079211600,1621,0
1079215200,1444,0
1079218800,1418,0
1079222400,1534,0
1079226000,1484,0
1079229600,1367,0
1079233200,1344,0
1079236800,1130,0
1079240400,1062,0
1079244000,1076,0
1079247600,1028,0
1079251200,1155,0
1079254800,1235,0
1079258400,1332,0
1079262000,1445,0
1079265600,1416,0
1079269200,1281,0
1079272800,1207,0
1079276400,1258,0
1079280000,1458,0
1079283600,1438,0
1079287200,1478,0
1079290800,1808,0
1079294400,1898,0
1079298000,1560,0
1079301600,1324,0
1079305200,1349,0
1079308800,1239,0
1079312400,1239,0
1079316000,1224,0
1079319600,1078,0
1079323200,1078,0
1079326800,1075,0
1079330400,1157,0
1079334000,1314,0
1079337600,1797,0
1079341200,1961,0
1079344800,1771,0
1079348400,1564,0
1079352000,1430,0
1079355600,1417,0
1079359200,1400,0
1079362800,1317,0
1079366400,1318,0
1079370000,1445,0
1079373600,1917,0
1079377200,2040,0
1079380800,1895,0
1079384400,1595,0
1079388000,1439,0
1079391600,1142,0
1079395200,1304,0
1079398800,1074,0
1079402400,968,0
1079406000,929,0
1079409600,941,0
1079413200,937,0
1079416800,1017,0
1079420400,1171,0
1079424000,1541,0
1079427600,1539,0
1079431200,1735,0
1079434800,1571,0
1079438400,1452,0
1079442000,1579,0
1079445600,1466,0
1079449200,1280,0
1079452800,1407,0
1079456400,1389,0
1079460000,1447,0
1079463600,1551,0
1079467200,1474,0
1079470800,1800,0
1079474400,1379,0
1079478000,1201,0
1079481600,1205,0
1079485200,1072,0
1079488800,998,0
1079492400,933,0
1079496000,883,0
1079499600,869,0
1079503200,891,0
1079506800,1173,0
1079510400,1587,0
1079514000,1852,0
1079517600,1522,0
1079521200,1438,0
1079524800,1393,0
1079528400,1452,0
1079532000,1389,0
1079535600,1207,0
1079539200,1365,0
1079542800,1247,0
1079546400,1557,0
1079550000,1973,0
1079553600,1975,0
1079557200,1795,0
1079560800,1444,0
1079564400,1488,0
1079568000,1371,0
1079571600,1161,0
1079575200,1064,0
1079578800,970,0
1079582400,954,0
1079586000,931,0
1079589600,938,0
1079593200,1166,0
1079596800,1643,0
1079600400,1934,0
1079604000,1617,0
1079607600,1473,0
1079611200,1379,0
1079614800,1385,0
1079618400,1379,0
1079622000,1322,0
1079625600,1496,0
1079629200,1409,0
1079632800,1513,0
1079636400,1667,0
1079640000,1667,0
1079643600,1430,0
1079647200,1333,0
1079650800,1262,0
1079654400,1287,0
1079658000,1134,0
1079661600,999,0
1079665200,961,0
1079668800,934,0
1079672400,913,0
1079676000,969,0
1079679600,1182,0
1079683200,1740,0
1079686800,1819,0
1079690400,1427,0
1079694000,1390,0
1079697600,1283,0
1079701200,1304,0
1079704800,1364,0
1079708400,1410,0
1079712000,1476,0
1079715600,1522,0
1079719200,1442,0
1079722800,1469,0
1079726400,1467,0
1079730000,1421,0
1079733600,1175,0
1079737200,1215,0
1079740800,1127,0
1079744400,1090,0
1079748000,1017,0
1079751600,997,0
1079755200,945,0
1079758800,956,0
1079762400,966,0
1079766000,1064,0
1079769600,1300,0
1079773200,1348,0
1079776800,1425,0
1079780400,1474,0
1079784000,1490,0
1079787600,1495,0
1079791200,1376,0
1079794800,1305,0
1079798400,1283,0
1079802000,1392,0
1079805600,1452,0
1079809200,1633,0
1079812800,1625,0
1079816400,1535,0
1079820000,1323,0
1079823600,1309,0
1079827200,1456,0
1079830800,1300,0
1079834400,1203,0
1079838000,1195,0
1079841600,1117,0
1079845200,1062,0
1079848800,947,0
1079852400,1065,0
1079856000,1155,0
1079859600,1220,0
1079863200,1301,0
1079866800,1279,0
1079870400,1267,0
1079874000,1239,0
1079877600,1128,0
1079881200,1243,0
1079884800,1208,0
1079888400,1306,0
1079892000,1546,0
1079895600,1501,0
1079899200,1605,0
1079902800,1316,0
1079906400,1195,0
1079910000,1211,0
1079913600,1161,0
1079917200,1095,0
1079920800,897,0
1079924400,842,0
1079928000,854,0
1079931600,845,0
1079935200,942,0
1079938800,1090,0
1079942400,1514,0
1079946000,1379,0
1079949600,1074,0
1079953200,1090,0
1079956800,1110,0
1079960400,1102,0
1079964000,1100,0
1079967600,1094,0
1079971200,1076,0
1079974800,1152,0
1079978400,1407,0
1079982000,1438,0
1079985600,1425,0
1079989200,1279,0
1079992800,1132,0
1079996400,1006,0
1080000000,982,0
1080003600,969,0
1080007200,941,0
1080010800,892,0
1080014400,855,0
1080018000,834,0
1080021600,909,0
1080025200,1061,0
1080028800,1441,0
1080032400,1498,0
1080036000,1343,0
1080039600,1308,0
1080043200,1209,0
1080046800,1310,0
1080050400,1171,0
1080054000,1112,0
1080057600,1132,0
1080061200,1225,0
1080064800,1065,0
1080068400,1236,0
1080072000,1309,0
1080075600,1089,0
1080079200,1000,0
1080082800,1041,0
1080086400,1045,0
1080090000,997,0
1080093600,948,0
1080097200,878,0
1080100800,908,0
1080104400,892,0
1080108000,954,0
1080111600,1045,0
1080115200,1383,0
1080118800,1597,0
1080122400,1318,0
1080126000,1138,0
1080129600,1098,0
1080133200,1118,0
1080136800,1170,0
1080140400,1112,0
1080144000,1390,0
1080147600,1353,0
1080151200,1260,0
1080154800,1501,0
1080158400,1273,0
1080162000,1179,0
1080165600,1047,0
1080169200,973,0
1080172800,997,0
1080176400,970,0
1080180000,902,0
1080183600,921,0
1080187200,858,0
1080190800,878,0
1080194400,893,0
1080198000,1038,0
1080201600,1320,0
1080205200,1353,0
1080208800,1133,0
1080212400,1066,0
1080216000,1027,0
1080219600,1106,0
1080223200,1038,0
1080226800,1084,0
1080230400,1105,0
1080234000,1102,0
1080237600,1240,0
1080241200,1443,0
1080244800,1389,0
1080248400,1183,0
1080252000,1014,0
1080255600,979,0
1080259200,1048,0
1080262800,1024,0
1080266400,974,0
1080270000,862,0
1080273600,925,0
1080277200,952,0
1080280800,1005,0
1080284400,1122,0
1080288000,1351,0
1080291600,1408,0
1080295200,1304,0
1080298800,1207,0
1080302400,1099,0
1080306000,1106,0
1080309600,1009,0
1080313200,962,0
1080316800,1093,0
1080320400,1180,0
1080324000,1168,0
1080327600,1168,0
1080331200,1140,0
1080334800,1001,0
1080338400,953,0
1080342000,972,0
1080345600,1021,0
1080349200,940,0
1080352800,1046,0
1080356400,1026,0
1080360000,983,0
1080363600,915,0
1080367200,935,0
1080370800,976,0
1080374400,1124,0
1080378000,1163,0
1080381600,1167,0
1080385200,1121,0
1080388800,1071,0
1080392400,1065,0
1080396000,1157,0
1080399600,1046,0
1080403200,1147,0
1080406800,1119,0
1080410400,1210,0
1080414000,1306,0
1080417600,1258,0
1080421200,1148,0
1080424800,1108,0
1080428400,1231,0
1080432000,1293,0
1080435600,1274,0
1080439200,1135,0
1080442800,1151,0
1080446400,1010,0
1080450000,870,0
1080453600,983,0
1080457200,995,0
1080460800,1024,0
1080464400,1163,0
1080468000,1218,0
1080471600,1210,0
1080475200,1114,0
1080478800,995,0
1080482400,927,0
1080486000,1002,0
1080489600,987,0
1080493200,993,0
1080496800,1012,0
1080500400,1114,0
1080504000,1093,0
1080507600,968,0
1080511200,960,0
1080514800,942,0
1080518400,888,0
1080522000,818,0
1080525600,840,0
1080529200,894,0
1080532800,864,0
1080536400,898,0
1080540000,946,0
1080543600,1309,0
1080547200,1326,0
1080550800,966,0
1080554400,975,0
1080558000,988,0
1080561600,971,0
1080565200,1010,0
1080568800,984,0
1080572400,962,0
1080576000,1012,0
1080579600,1058,0
1080583200,1173,0
1080586800,1127,0
1080590400,1020,0
1080594000,949,0
1080597600,930,0
1080601200,900,0
1080604800,899,0
1080608400,866,0
1080612000,900,0
1080615600,949,0
1080619200,897,0
1080622800,956,0
1080626400,1054,0
1080630000,1343,0
1080633600,1584,0
1080637200,1556,0
1080640800,1565,0
1080644400,1429,0
1080648000,1419,0
1080651600,1373,0
1080655200,1185,0
1080658800,1122,0
1080662400,1085,0
1080666000,1249,0
1080669600,1236,0
1080673200,1334,0
1080676800,1264,0
1080680400,1073,0
1080684000,1053,0
1080687600,1098,0
1080691200,1029,0
1080694800,973,0
1080698400,972,0
1080702000,832,0
1080705600,851,0
1080709200,909,0
1080712800,1038,0
1080716400,1636,0
1080720000,1580,0
1080723600,1262,0
1080727200,1197,0
1080730800,1277,0
1080734400,1430,0
1080738000,1242,0
1080741600,1349,0
1080745200,1390,0
1080748800,1224,0
1080752400,1253,0
1080756000,1312,0
1080759600,1254,0
1080763200,1198,0
1080766800,1060,0
1080770400,1050,0
1080774000,1029,0
1080777600,1143,0
1080781200,1044,0
1080784800,1034,0
1080788400,956,0
1080792000,909,0
1080795600,996,0
1080799200,1154,0
1080802800,1510,0
1080806400,1722,0
1080810000,1512,0
1080813600,1258,0
1080817200,1094,0
1080820800,1129,0
1080824400,1125,0
1080828000,-200,0
1080831600,-200,0
1080835200,-200,0
1080838800,1308,0
1080842400,1529,0
1080846000,1592,0
1080849600,1536,0
1080853200,1192,0
1080856800,1186,0
1080860400,1203,0
1080864000,1139,0
1080867600,1072,0
1080871200,954,0
1080874800,951,0
1080878400,926,0
1080882000,968,0
1080885600,1067,0
1080889200,1386,0
1080892800,1474,0
1080896400,1569,0
1080900000,1375,0
1080903600,1328,0
1080907200,1341,0
1080910800,1297,0
1080914400,1303,0
1080918000,1281,0
1080921600,1248,0
1080925200,1382,0
1080928800,1491,0
1080932400,1620,0
1080936000,1693,0
1080939600,1374,0
1080943200,1287,0
1080946800,1408,0
1080950400,1254,0
1080954000,1141,0
1080957600,1141,0
1080961200,1042,0
1080964800,986,0
1080968400,1005,0
1080972000,1041,0
1080975600,1272,0
1080979200,1436,0
1080982800,1472,0
1080986400,1418,0
1080990000,1410,0
1080993600,1438,0
1080997200,1278,0
1081000800,1257,0
1081004400,1331,0
1081008000,1361,0
1081011600,1398,0
1081015200,1483,0
1081018800,1697,0
1081022400,1459,0
1081026000,1268,0
1081029600,1469,0
1081033200,1316,0
1081036800,1224,0
1081040400,1215,0
1081044000,1115,0
1081047600,1124,0
1081051200,1028,0
1081054800,1010,0
1081058400,1074,0
1081062000,1034,0
1081065600,1130,0
1081069200,1275,0
1081072800,1324,0
1081076400,1268,0
1081080000,1272,0
1081083600,1160,0
1081087200,1136,0
1081090800,1296,0
1081094400,1345,0
1081098000,1296,0
1081101600,1258,0
1081105200,1420,0
1081108800,1366,0
1081112400,1113,0
1081116000,1196,0
