time,value,predict
200,0,200
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,0,0
900,0,0
1000,0,0
1100,0,0
1200,32,0
1300,0,0
1400,0,0
1500,0,0
1600,32,0
1700,32,0
1800,48,0
1900,48,0
2000,16,0
2100,16,0
2200,16,0
2300,16,0
2400,0,0
2500,32,0
2600,32,0
2700,32,0
2800,48,0
2900,16,0
3000,48,0
3100,10,0
3200,3073,0
3300,384,0
3400,48,0
3500,12,0
3600,4,0
3700,5,0
3800,4,0
3900,1,0
4000,2049,0
4100,2052,0
4200,2053,0
4300,2052,0
4400,2050,0
4500,2048,0
4600,2,0
4700,3,0
4800,3,0
4900,2,0
5000,1,0
5100,0,0
5200,2049,0
5300,2050,0
5400,2050,0
5500,2050,0
5600,0,0
5700,1,0
5800,1,0
5900,2049,0
6000,2050,0
6100,2050,0
6200,2048,0
6300,2,0
6400,4,0
6500,4,0
6600,2,0
6700,2048,0
6800,2051,0
6900,2052,0
7000,2051,0
7100,2048,0
7200,2,0
7300,2,0
7400,1,0
7500,2048,0
7600,2050,0
7700,2050,0
7800,2049,0
7900,1,0
8000,2,0
8100,2,0
8200,0,0
8300,2050,0
8400,2051,0
8500,2051,0
8600,2050,0
8700,1,0
8800,3,0
8900,4,0
9000,4,0
9100,2,0
9200,0,0
9300,2050,0
9400,2052,0
9500,2052,0
9600,2051,0
9700,2049,0
9800,1,0
9900,3,0
10000,3,0
10100,2,0
10200,0,0
10300,2050,0
10400,2051,0
10500,2051,0
10600,2049,0
10700,1,0
10800,2,0
10900,3,0
11000,2,0
11100,0,0
11200,2050,0
11300,2051,0
11400,2050,0
11500,2049,0
11600,2,0
11700,3,0
11800,3,0
11900,1,0
12000,2049,0
12100,2050,0
12200,2050,0
12300,2049,0
12400,1,0
12500,1,0
12600,1,0
12700,2049,0
12800,2049,0
12900,2049,0
13000,2049,0
13100,0,0
13200,1,0
13300,1,0
13400,2048,0
13500,2049,0
13600,2050,0
13700,2050,0
13800,2049,0
13900,2,0
14000,5,0
14100,5,0
14200,3,0
14300,2049,0
14400,2052,0
14500,2054,0
14600,2053,0
14700,2051,0
14800,1,0
14900,4,0
15000,5,0
15100,6,0
15200,4,0
15300,1,0
15400,2050,0
15500,2052,0
15600,2052,0
15700,2051,0
15800,2049,0
15900,1,0
16000,1,0
16100,2,0
16200,2,0
16300,2,0
16400,2,0
16500,1,0
16600,2049,0
16700,2050,0
16800,2050,0
16900,2050,0
17000,2050,0
17100,0,0
17200,2,0
17300,2,0
17400,0,0
17500,2050,0
17600,2052,0
17700,2051,0
17800,2049,0
17900,2,0
18000,5,0
18100,5,0
18200,4,0
18300,1,0
18400,2049,0
18500,2051,0
18600,2052,0
18700,2052,0
18800,2051,0
18900,2050,0
19000,1,0
19100,3,0
19200,4,0
19300,4,0
19400,3,0
19500,1,0
19600,2049,0
19700,2050,0
19800,2051,0
19900,2051,0
20000,2050,0
20100,0,0
20200,2,0
20300,2,0
20400,2,0
20500,1,0
20600,2048,0
20700,2049,0
20800,2050,0
20900,2051,0
21000,2050,0
21100,2049,0
21200,1,0
21300,3,0
21400,4,0
21500,3,0
21600,2,0
21700,2049,0
21800,2051,0
21900,2051,0
22000,2051,0
22100,2050,0
22200,2049,0
22300,1,0
22400,2,0
22500,4,0
22600,3,0
22700,2,0
22800,1,0
22900,2048,0
23000,2050,0
23100,2052,0
23200,2052,0
23300,2052,0
23400,2050,0
23500,1,0
23600,3,0
23700,4,0
23800,3,0
23900,1,0
24000,2048,0
24100,2049,0
24200,2049,0
24300,2049,0
24400,2048,0
24500,2048,0
24600,2049,0
24700,2050,0
24800,2051,0
24900,2050,0
25000,0,0
25100,2,0
25200,4,0
25300,4,0
25400,2,0
25500,2048,0
25600,2050,0
25700,2050,0
25800,2049,0
25900,2048,0
26000,2048,0
26100,2049,0
26200,2050,0
26300,2050,0
26400,2048,0
26500,2,0
26600,3,0
26700,3,0
26800,2,0
26900,2048,0
27000,2050,0
27100,2051,0
27200,2051,0
27300,2050,0
27400,0,0
27500,2,0
27600,2,0
27700,1,0
27800,0,0
27900,2048,0
28000,2048,0
28100,2049,0
28200,2050,0
28300,2050,0
28400,2049,0
28500,1,0
28600,3,0
28700,5,0
28800,5,0
28900,3,0
29000,2049,0
29100,2052,0
29200,2054,0
29300,2054,0
29400,2053,0
29500,2050,0
29600,1,0
29700,3,0
29800,4,0
29900,5,0
30000,4,0
30100,3,0
30200,1,0
30300,2050,0
30400,2052,0
30500,2052,0
30600,2052,0
30700,2050,0
30800,2048,0
30900,2,0
31000,3,0
31100,3,0
31200,1,0
31300,2049,0
31400,2050,0
31500,2051,0
31600,2050,0
31700,1,0
31800,3,0
31900,4,0
32000,4,0
32100,2,0
32200,2050,0
32300,2052,0
32400,2053,0
32500,2053,0
32600,2051,0
32700,2048,0
32800,2,0
32900,3,0
33000,4,0
33100,3,0
33200,2,0
33300,0,0
33400,2049,0
33500,2050,0
33600,2050,0
33700,2050,0
33800,2050,0
33900,2050,0
34000,2048,0
34100,1,0
34200,3,0
34300,4,0
34400,4,0
34500,3,0
34600,2,0
34700,1,0
34800,2049,0
34900,2050,0
35000,2051,0
35100,2052,0
35200,2051,0
35300,2051,0
35400,2050,0
35500,2050,0
35600,0,0
35700,2,0
35800,4,0
35900,5,0
36000,5,0
36100,2,0
36200,2049,0
36300,2052,0
36400,2053,0
36500,2053,0
36600,2051,0
36700,2049,0
36800,2,0
36900,5,0
37000,6,0
37100,5,0
37200,2,0
37300,2049,0
37400,2052,0
37500,2053,0
37600,2052,0
37700,2051,0
37800,2049,0
37900,1,0
38000,3,0
38100,4,0
38200,4,0
38300,2,0
38400,2049,0
38500,2051,0
38600,2051,0
38700,2050,0
38800,2049,0
38900,2048,0
39000,1,0
39100,2,0
39200,2,0
39300,1,0
39400,2050,0
39500,2052,0
39600,2051,0
39700,2049,0
39800,2,0
39900,4,0
40000,5,0
40100,4,0
40200,3,0
40300,0,0
40400,2051,0
40500,2053,0
40600,2054,0
40700,2053,0
40800,2050,0
40900,1,0
41000,4,0
41100,6,0
41200,7,0
41300,5,0
41400,2,0
41500,2051,0
41600,2054,0
41700,2055,0
41800,2054,0
41900,2050,0
42000,2,0
42100,5,0
42200,6,0
42300,5,0
42400,2,0
42500,2050,0
42600,2053,0
42700,2053,0
42800,2052,0
42900,2049,0
43000,2,0
43100,4,0
43200,4,0
43300,3,0
43400,1,0
43500,2050,0
43600,2052,0
43700,2052,0
43800,2051,0
43900,2048,0
44000,3,0
44100,4,0
44200,5,0
44300,3,0
44400,1,0
44500,2050,0
44600,2053,0
44700,2053,0
44800,2052,0
44900,2049,0
45000,2,0
45100,4,0
45200,5,0
45300,4,0
45400,3,0
45500,1,0
45600,2048,0
45700,2051,0
45800,2053,0
45900,2053,0
46000,2052,0
46100,2050,0
46200,1,0
46300,4,0
46400,5,0
46500,5,0
46600,4,0
46700,1,0
46800,2050,0
46900,2053,0
47000,2053,0
47100,2052,0
47200,2050,0
47300,0,0
47400,2,0
47500,3,0
47600,3,0
47700,2,0
47800,1,0
47900,0,0
48000,2048,0
48100,2049,0
48200,2049,0
48300,2050,0
48400,2049,0
48500,0,0
48600,1,0
48700,2,0
48800,1,0
48900,2048,0
49000,2048,0
49100,2048,0
49200,0,0
49300,1,0
49400,0,0
49500,2048,0
49600,2049,0
49700,2049,0
49800,2049,0
49900,2049,0
50000,2049,0
50100,2048,0
50200,2049,0
50300,2049,0
50400,2048,0
50500,1,0
50600,3,0
50700,4,0
50800,3,0
50900,2,0
51000,0,0
51100,2049,0
51200,2050,0
51300,2051,0
51400,2052,0
51500,2052,0
51600,2051,0
51700,2048,0
51800,3,0
51900,5,0
52000,6,0
52100,4,0
52200,1,0
52300,2050,0
52400,2053,0
52500,2053,0
52600,2052,0
52700,2050,0
52800,2,0
52900,4,0
53000,5,0
53100,4,0
53200,2,0
53300,2049,0
53400,2052,0
53500,2053,0
53600,2053,0
53700,2050,0
53800,1,0
53900,2,0
54000,4,0
54100,4,0
54200,4,0
54300,2,0
54400,1,0
54500,2049,0
54600,2050,0
54700,2051,0
54800,2050,0
54900,2050,0
55000,2048,0
55100,1,0
55200,2,0
55300,2,0
55400,1,0
55500,1,0
55600,2048,0
55700,2049,0
55800,2050,0
55900,2050,0
56000,2050,0
56100,2049,0
56200,1,0
56300,2,0
56400,2,0
56500,2,0
56600,1,0
56700,0,0
56800,2048,0
56900,2049,0
57000,2049,0
57100,2050,0
57200,2050,0
57300,2049,0
57400,1,0
57500,3,0
57600,3,0
57700,2,0
57800,2049,0
57900,2051,0
58000,2051,0
58100,2049,0
58200,2,0
58300,4,0
58400,4,0
58500,2,0
58600,0,0
58700,2050,0
58800,2051,0
58900,2052,0
59000,2052,0
59100,2052,0
59200,2050,0
59300,0,0
59400,3,0
59500,6,0
59600,6,0
59700,4,0
59800,1,0
59900,2050,0
60000,2053,0
60100,2055,0
60200,2054,0
60300,2052,0
60400,0,0
60500,4,0
60600,6,0
60700,6,0
60800,5,0
60900,3,0
61000,2,0
61100,2049,0
61200,2052,0
61300,2054,0
61400,2054,0
61500,2052,0
61600,2049,0
61700,2,0
61800,4,0
61900,5,0
62000,3,0
62100,0,0
62200,2049,0
62300,2049,0
62400,2048,0
62500,2048,0
62600,2049,0
62700,2050,0
62800,2050,0
62900,2049,0
63000,0,0
63100,2,0
63200,2,0
63300,2,0
63400,2,0
63500,1,0
63600,0,0
63700,2049,0
63800,2051,0
63900,2051,0
64000,2050,0
64100,2049,0
64200,1,0
64300,3,0
64400,3,0
64500,2,0
64600,2049,0
64700,2050,0
64800,2050,0
64900,2049,0
65000,0,0
65100,1,0
65200,1,0
65300,0,0
65400,2048,0
65500,2049,0
65600,2048,0
65700,1,0
65800,1,0
65900,1,0
66000,0,0
66100,0,0
66200,0,0
66300,2048,0
66400,2049,0
66500,2049,0
66600,2050,0
66700,2050,0
66800,2048,0
66900,1,0
67000,2,0
67100,2,0
67200,2,0
67300,1,0
67400,0,0
67500,2049,0
67600,2049,0
67700,2049,0
67800,2049,0
67900,2049,0
68000,2048,0
68100,1,0
68200,1,0
68300,1,0
68400,1,0
68500,2048,0
68600,2048,0
68700,2048,0
68800,2049,0
68900,2050,0
69000,2049,0
69100,2048,0
69200,0,0
69300,1,0
69400,1,0
69500,2,0
69600,3,0
69700,3,0
69800,1,0
69900,2050,0
70000,2052,0
70100,2052,0
70200,2050,0
70300,0,0
70400,2,0
70500,3,0
70600,3,0
70700,2,0
70800,2048,0
70900,2049,0
71000,2050,0
71100,2049,0
71200,2049,0
71300,2049,0
71400,2048,0
71500,2048,0
71600,2048,0
71700,2048,0
71800,0,0
71900,0,0
72000,1,0
72100,2,0
72200,3,0
72300,3,0
72400,1,0
72500,2050,0
72600,2052,0
72700,2053,0
72800,2051,0
72900,2049,0
73000,2,0
73100,5,0
73200,6,0
73300,4,0
73400,1,0
73500,2050,0
73600,2051,0
73700,2051,0
73800,2051,0
73900,2050,0
74000,2050,0
74100,2049,0
74200,1,0
74300,3,0
74400,4,0
74500,3,0
74600,1,0
74700,2048,0
74800,2049,0
74900,2050,0
75000,2050,0
75100,2050,0
75200,2050,0
75300,2049,0
75400,2048,0
75500,1,0
75600,2,0
75700,3,0
75800,3,0
75900,3,0
76000,1,0
76100,0,0
76200,2048,0
76300,2049,0
76400,2049,0
76500,2050,0
76600,2051,0
76700,2050,0
76800,2049,0
76900,1,0
77000,1,0
77100,1,0
77200,1,0
77300,1,0
77400,2,0
77500,1,0
77600,2048,0
77700,2049,0
77800,2050,0
77900,2050,0
78000,2048,0
78100,1,0
78200,2,0
78300,1,0
78400,1,0
78500,2049,0
78600,2050,0
78700,2049,0
78800,0,0
78900,1,0
79000,1,0
79100,0,0
79200,2049,0
79300,2049,0
79400,2049,0
79500,2049,0
79600,1,0
79700,2,0
79800,3,0
79900,2,0
80000,1,0
80100,2049,0
80200,2050,0
80300,2051,0
80400,2050,0
80500,2049,0
80600,1,0
80700,2,0
