time,value,predict
1627358707,999,1627358707
1627358712,999,-32
1627358734,999,-46
1627358746,999,-71
1627358757,140,-96
1627358773,2,-117
1627358784,56,-142
1627358792,999,-171
1627358809,999,-190
1627358849,999,-187
1627358911,999,-161
1627358957,999,-152
1627358973,999,-172
1627358988,999,-194
1627359003,999,-215
1627359035,110,-220
1627359041,140,-250
1627359046,69,-282
1627359052,140,-313
1627359069,999,-332
1627359087,999,-351
1627365473,999,5999
1627365484,999,5973
1627365489,999,5942
1627365495,999,5911
1627365531,999,5911
1627365578,999,5921
1627365593,999,5900
1627365624,999,5894
1627365640,999,5874
1627365655,999,5852
1627365671,999,5832
1627365686,999,5810
1627365732,999,5820
1627365763,999,5814
1627365810,999,5824
1627365825,999,5803
1627365867,265,5808
1627365878,303,5783
1627365883,160,5751
1627365894,999,5726
1627365905,999,5700
1627365934,112,5693
1627365939,255,5661
1627365945,214,5631
1627365956,89,5605
1627365972,113,5585
1627365994,87,5570
1627366010,169,5550
1627366016,147,5519
1627366021,101,5487
1627366027,20,5457
1627366043,15,5436
1627366048,263,5405
1627366065,247,5385
1627366076,153,5360
1627366087,123,5334
1627366098,0,5309
1627366103,8,5277
1627366130,405,5268
1627366200,0,5301
1627366210,172,5275
1627366221,132,5249
1627366227,0,5219
1627366243,12,5198
1627366254,465,5173
1627366259,0,5141
1627366287,121,5132
1627366297,281,5106
1627366308,156,5080
1627366314,157,5050
1627366330,0,5029
1627366347,63,5010
1627366352,56,4978
1627366357,20,4947
1627366379,61,4932
1627366385,38,4902
1627366390,60,4870
1627366395,38,4839
1627366401,69,4808
1627366406,74,4777
1627366412,11,4746
1627366428,7,4726
1627366434,0,4695
1627366450,20,4674
1627366487,999,4675
1627366517,999,4668
1627366533,999,4648
1627366548,999,4626
1627366555,999,4597
1627366566,268,4571
1627366571,127,4540
1627366587,132,4519
1627366604,33,4500
1627366615,62,4474
1627366631,0,4454
1627366636,103,4422
1627366647,8,4397
1627366658,27,4371
1627366674,999,4351
1627366689,999,4329
1627366699,999,4302
1627366727,312,4294
1627366738,0,4268
1627366744,170,4238
1627366749,147,4206
1627366754,125,4175
1627366771,55,4155
1627366796,999,4144
1627366802,999,4113
1627366812,999,4087
1627366818,8,4056
1627366823,217,4025
1627366845,120,4010
1627366856,31,3985
1627366861,32,3953
1627366867,68,3923
1627366872,0,3891
1627366904,999,3886
1627366975,170,3921
1627366980,153,3889
1627366986,77,3859
1627367024,35,3860
1627367055,999,3855
1627367072,999,3835
1627367093,999,3820
1627367157,0,3847
1627367162,0,3816
1627367173,295,3790
1627367179,0,3760
1627367189,0,3733
1627367212,999,3720
1627367217,644,3688
1627367228,0,3662
1627367236,999,3634
1627367241,276,3602
1627367250,999,3575
1627367261,0,3549
1627367267,277,3519
1627367283,10,3498
1627367309,86,3488
1627367314,0,3456
1627367320,167,3426
1627367325,0,3394
1627367346,999,3379
1627367362,999,3358
1627367368,466,3328
1627367405,999,3328
