time,value,predict
1412213067,32,1412213067
1412213068,16,-17
1412213069,32,-35
1412213070,489,-52
1412213077,18,-63
1412213078,105,-81
1412213082,62,-95
1412213083,45,-112
1412213084,70,-130
1412213085,201,-147
1412213087,198,-163
1412213090,159,-179
1412213090,13,-197
1412213091,649,-214
1412213154,111,-170
1412213156,471,-186
1412213156,374,-204
1412213163,0,-216
1412213172,444,-225
1412213180,372,-235
1412213183,63,-251
1412213185,769,-267
1412213188,102,-282
1412213190,538,-299
1412213199,645,-308
1412213202,13,-323
1412213205,78,-339
1412213206,211,-356
1412213209,70,-371
1412213210,141,-388
1412213212,111,-405
1412213222,10,-413
1412213228,148,-425
1412213236,247,-436
1412213241,296,-449
1412213242,53,-466
1412213243,276,-484
1412213244,107,-501
1412213246,432,-517
1412213247,134,-535
1412213249,150,-551
1412213251,2800,-567
1412213252,72,-585
1412213252,272,-603
1412213253,452,-620
1412213261,420,-631
1412213265,187,-645
1412213270,241,-658
1412213276,157,-671
1412213281,281,-684
1412213299,84,-684
1412213300,207,-702
1412213305,41,-715
1412213306,149,-732
1412213307,173,-750
1412213314,41,-761
1412213315,834,-778
1412213317,150,-795
1412213319,52,-811
1412213320,237,-828
1412213323,112,-844
1412213323,748,-862
1412213330,466,-873
1412213335,129,-887
1412213338,315,-902
1412213338,1674,-920
1412213339,479,-938
1412213342,197,-953
1412213344,56,-969
1412213345,129,-987
1412213349,336,-1001
1412213353,90,-1015
1412213354,75,-1033
1412213356,520,-1049
1412213364,63,-1059
1412213365,27,-1077
1412213366,292,-1094
1412213371,727,-1107
1412213384,68,-1113
1412213385,292,-1130
1412213386,1516,-1147
1412213394,501,-1157
1412213395,88,-1175
1412213397,213,-1191
1412213401,285,-1205
1412213408,197,-1217
1412213412,192,-1231
1412213414,1412,-1247
1412213437,20,-1243
1412213438,24,-1260
1412213438,445,-1278
1412213439,246,-1296
1412213445,110,-1308
1412213445,29,-1326
1412213447,215,-1343
1412213449,80,-1359
1412213452,238,-1374
1412213452,120,-1393
1412213455,43,-1408
1412213456,131,-1425
1412213457,181,-1443
1412213458,140,-1460
1412213460,4,-1476
1412213461,501,-1494
1412213463,889,-1510
1412213468,248,-1523
1412213472,285,-1538
1412213476,3493,-1552
1412213476,281,-1570
1412213483,52,-1582
1412213486,97,-1597
1412213489,93,-1612
1412213490,268,-1630
1412213494,173,-1644
1412213497,1501,-1659
1412213529,194,-1646
1412213533,307,-1660
1412213541,46,-1670
1412213542,1549,-1688
1412213569,191,-1679
1412213571,2387,-1695
1412213575,197,-1710
1412213578,3560,-1725
1412213618,197,-1703
1412213621,310,-1719
1412213627,73,-1731
1412213629,304,-1747
1412213656,65,-1739
1412213657,143,-1756
1412213659,70,-1772
1412213661,31,-1789
1412213662,40,-1806
1412213663,353,-1823
1412213668,230,-1836
1412213671,906,-1852
1412213677,219,-1864
1412213680,4629,-1879
1412213681,223,-1897
1412213687,0,-1909
1412213688,51,-1926
1412213690,254,-1943
1412213693,899,-1958
1412213706,108,-1963
1412213708,427,-1980
1412213713,234,-1993
1412213717,121,-2007
1412213719,62,-2024
1412213720,44,-2041
1412213721,268,-2058
1412213724,111,-2074
1412213726,839,-2090
1412213742,180,-2092
1412213744,137,-2109
1412213746,187,-2125
1412213749,49,-2140
1412213750,824,-2158
1412213762,59,-2164
1412213763,1317,-2181
1412213796,164,-2167
1412213798,141,-2183
1412213800,142,-2199
1412213802,58,-2216
1412213803,537,-2233
1412213810,738,-2244
1412213814,352,-2259
1412213822,551,-2269
1412213836,176,-2273
1412213839,59,-2289
1412213840,222,-2306
1412213843,377,-2321
1412213847,53,-2336
1412213848,782,-2353
1412213862,86,-2357
1412213863,835,-2375
1412213896,249,-2360
1412213899,137,-2375
1412213900,137,-2393
1412213901,2644,-2410
1412213903,125,-2426
1412213905,50,-2443
1412213906,1067,-2460
1412213922,30,-2462
1412213923,62,-2480
1412213924,296,-2497
1412213933,250,-2506
1412213938,153,-2519
1412213940,74,-2536
1412213941,193,-2553
1412213944,653,-2568
1412213955,359,-2576
1412213971,195,-2578
1412213974,612,-2593
1412213989,64,-2597
1412213990,106,-2614
1412213991,354,-2631
1412214018,118,-2623
1412214019,122,-2640
1412214021,163,-2656
1412214024,77,-2672
1412214025,151,-2689
1412214028,130,-2704
1412214030,444,-2721
1412214054,352,-2715
1412214063,145,-2724
1412214067,393,-2739
1412214079,495,-2745
1412214086,262,-2756
1412214089,98,-2772
1412214092,0,-2787
1412214093,83,-2804
1412214096,3,-2820
1412214097,51,-2837
1412214100,0,-2852
1412214101,109,-2870
1412214108,27,-2881
1412214109,101,-2898
1412214113,64,-2913
1412214115,99,-2929
1412214118,685,-2944
1412214125,999,-2956
1412214130,103,-2969
1412214132,449,-2985
1412214140,214,-2996
1412214145,629,-3009
1412214159,191,-3013
1412214165,468,-3026
1412214170,182,-3039
1412214175,73,-3052
1412214176,456,-3070
1412214188,548,-3076
1412214190,2035,-3092
1412214229,118,-3072
1412214252,68,-3067
1412214253,500,-3084
1412214260,526,-3096
1412214264,289,-3110
1412214277,260,-3115
1412214280,333,-3130
1412214289,156,-3140
1412214291,756,-3156
1412214309,123,-3156
1412214311,223,-3173
1412214314,120,-3188
1412214316,117,-3204
1412214318,205,-3221
1412214323,135,-3234
1412214325,155,-3250
1412214327,170,-3267
1412214329,326,-3283
1412214336,237,-3294
1412214339,1435,-3310
1412214365,122,-3302
1412214367,2200,-3318
1412214386,240,-3318
1412214390,243,-3332
1412214396,123,-3344
1412214401,155,-3358
1412214403,589,-3374
1412214412,1488,-3383
1412214421,2108,-3393
1412214472,134,-3360
1412214474,190,-3376
1412214476,79,-3393
1412214478,84,-3409
1412214480,82,-3425
1412214481,161,-3443
1412214485,43,-3457
1412214486,98,-3474
1412214488,149,-3491
1412214490,316,-3507
1412214495,499,-3520
1412214502,541,-3532
1412214508,154,-3544
1412214511,458,-3559
1412214521,131,-3568
1412214523,1279,-3584
1412214523,379,-3602
1412214555,542,-3589
1412214560,194,-3602
1412214563,275,-3617
1412214563,364,-3636
1412214568,1665,-3649
1412214570,132,-3665
1412214572,68,-3682
1412214574,367,-3698
1412214580,189,-3710
1412214584,83,-3725
1412214587,74,-3740
1412214589,361,-3756
1412214593,123,-3770
1412214597,75,-3785
1412214598,403,-3802
1412214604,150,-3814
1412214606,234,-3831
1412214607,263,-3848
1412214610,52,-3863
1412214611,177,-3881
1412214611,325,-3899
1412214616,1286,-3912
1412214618,428,-3929
1412214623,3482,-3942
1412214656,152,-3927
1412214658,579,-3944
1412214702,109,-3918
1412214704,1091,-3934
1412214709,1226,-3948
1412214737,70,-3938
1412214738,157,-3955
1412214740,173,-3972
1412214743,369,-3987
1412214744,1087,-4004
1412214754,137,-4013
1412214757,169,-4028
1412214758,28,-4045
1412214759,92,-4063
1412214759,364,-4081
1412214760,224,-4098
1412214766,51,-4111
1412214767,697,-4128
1412214778,171,-4135
1412214780,52,-4152
1412214781,73,-4169
1412214782,52,-4186
1412214783,73,-4204
1412214784,236,-4221
1412214787,202,-4236
1412214791,35,-4251
1412214798,10,-4262
1412214799,92,-4279
1412214800,148,-4297
1412214800,193,-4315
1412214802,94,-4331
1412214806,958,-4346
1412214826,282,-4344
1412214830,991,-4358
1412214864,1662,-4343
1412214868,234,-4357
1412214872,282,-4371
1412214886,59,-4376
1412214887,65,-4393
1412214888,189,-4410
1412214891,86,-4426
1412214893,230,-4442
1412214897,344,-4456
1412214901,148,-4470
1412214903,304,-4487
1412214910,121,-4498
1412214913,463,-4513
1412214916,259,-4529
1412214918,301,-4545
1412214919,93,-4562
1412214920,310,-4580
1412214925,62,-4593
1412214926,393,-4610
1412214927,165,-4628
1412214939,696,-4634
1412214949,578,-4642
1412214977,6150,-4633
1412214988,87,-4640
1412214989,74,-4657
1412214990,86,-4675
1412214994,236,-4689
1412214999,400,-4702
1412215015,62,-4705
1412215016,164,-4722
1412215018,554,-4738
1412215043,973,-4732
1412215107,112,-4686
1412215109,348,-4702
1412215114,187,-4716
1412215116,331,-4732
1412215117,50,-4749
1412215118,34,-4767
1412215120,68,-4783
1412215122,197,-4799
1412215123,183,-4817
1412215127,188,-4831
1412215129,120,-4847
1412215131,925,-4864
1412215135,481,-4878
1412215156,114,-4875
1412215163,265,-4887
1412215169,72,-4899
1412215172,274,-4914
1412215172,29,-4933
1412215173,88,-4950
1412215174,93,-4967
1412215175,42,-4985
1412215176,104,-5002
1412215176,53,-5020
1412215177,76,-5038
1412215177,367,-5056
1412215178,239,-5073
1412215181,76,-5089
1412215182,111,-5106
1412215184,174,-5122
1412215186,210,-5138
1412215190,96,-5153
1412215194,127,-5167
1412215197,210,-5182
1412215201,862,-5197
1412215217,256,-5199
1412215221,283,-5213
1412215222,69,-5231
1412215223,421,-5248
1412215225,124,-5264
1412215227,0,-5281
1412215228,302,-5298
1412215229,61,-5315
1412215230,218,-5333
1412215233,539,-5348
1412215234,209,-5365
1412215239,473,-5379
1412215248,51,-5388
1412215250,56,-5404
1412215253,46,-5420
1412215255,311,-5436
1412215260,1136,-5449
1412215265,73,-5463
1412215267,654,-5479
1412215283,337,-5481
1412215288,205,-5495
1412215291,44,-5510
1412215292,501,-5527
