time,value,predict
1687708815,498338,1687708815
1687708815,502691,0
1687708815,687158,0
1687708816,222869,1
1687708816,261881,1
1687708816,625676,1
1687708816,715175,1
1687708817,213381,2
1687708817,344522,2
1687708817,539854,2
1687708817,594625,2
1687708818,305281,3
1687708818,455021,3
1687708818,666690,3
1687708818,702177,3
1687708822,647408,7
1687708825,243652,10
1687708834,279435,19
1687708835,402014,20
1687708835,493280,20
1687708835,507865,20
1687708835,684950,19
1687708836,224343,20
1687708836,258965,20
1687708836,629094,20
1687708836,714495,20
1687708837,212924,21
1687708837,308867,21
1687708837,339823,21
1687708837,544387,21
1687708837,590519,21
1687708838,239401,22
1687708838,241284,22
1687708838,449519,22
1687708838,663839,22
1687708838,703696,22
1687708839,433932,23
1687708839,706722,23
1687708840,213493,24
1687708840,313443,24
1687708840,328890,24
1687708840,564474,24
1687708840,650485,24
1687708840,653971,24
1687708840,707462,24
1687708841,229749,25
1687708841,247204,25
1687708841,424819,25
1687708842,294210,26
1687708842,455817,26
1687708842,548145,26
1687708842,660390,26
1687708842,689167,26
1687708842,703222,26
1687708843,210957,27
1687708843,338491,27
1687708843,580560,27
1687708843,642399,27
1687708843,710695,27
1687708844,225420,28
1687708844,410889,28
1687708851,562943,34
1687708854,282722,37
1687708855,488205,38
1687708855,512961,38
1687708855,682699,38
1687708855,691286,38
1687708856,225948,39
1687708856,256202,39
1687708856,406887,39
1687708856,632509,39
1687708856,713717,39
1687708857,212530,40
1687708857,312514,40
1687708857,548868,40
1687708857,586303,40
1687708858,239032,41
1687708858,241533,41
1687708858,444059,41
1687708858,660945,41
1687708858,705110,41
1687708859,438770,42
1687708859,558447,42
1687708859,653498,42
1687708859,705572,42
1687708860,213646,43
1687708860,333076,43
1687708860,568672,43
1687708860,651073,43
1687708860,708269,43
1687708861,228032,44
1687708861,249707,44
1687708861,419554,44
1687708862,290450,45
1687708862,461128,45
1687708862,543298,45
1687708862,663353,45
1687708862,701730,45
1687708863,211646,46
1687708863,342830,46
1687708863,584632,46
1687708863,639059,45
1687708863,711467,45
1687708864,223856,46
1687708864,255624,46
1687708864,335177,46
1687708864,405502,46
1687708864,468428,46
1687708864,670104,46
1687708865,212429,47
1687708865,290300,47
1687708865,346511,47
1687708865,533433,47
1687708865,585350,47
1687708865,711508,47
1687708866,638544,48
1687708867,227178,49
1687708867,253248,49
1687708867,309328,49
1687708867,406315,49
1687708867,467392,49
1687708867,668599,49
1687708867,699221,49
1687708868,210781,50
1687708868,292875,50
1687708868,345110,50
1687708868,537055,50
1687708869,404869,51
1687708869,584289,51
1687708869,641567,51
1687708869,710978,51
1687708872,700754,54
1687708874,286067,56
1687708875,483098,57
1687708875,517976,57
1687708875,680381,57
1687708875,693312,57
1687708876,227662,58
1687708876,253547,58
1687708876,411804,58
1687708876,635914,58
1687708876,712886,57
1687708877,212178,58
1687708877,316227,58
1687708877,330570,58
1687708877,553292,58
1687708877,581996,58
1687708878,236870,59
1687708878,243759,59
1687708878,438634,59
1687708878,658016,59
1687708879,305275,60
1687708879,443645,60
1687708879,553891,60
1687708879,656478,60
1687708879,704344,60
1687708880,213836,61
1687708880,572810,61
1687708880,648048,61
1687708880,708956,61
1687708881,226366,62
1687708881,252327,62
1687708881,337304,62
1687708881,414268,62
1687708881,538425,62
1687708882,286801,63
1687708882,466430,63
1687708882,666295,63
1687708882,700130,63
1687708883,212428,64
1687708883,347174,64
1687708883,588608,64
1687708883,635617,64
1687708883,712122,64
1687708884,222371,65
1687708884,258455,65
1687708884,400129,65
1687708884,473578,65
1687708884,672748,65
1687708885,213379,66
1687708885,286665,66
1687708885,350928,66
1687708885,528623,65
1687708885,589383,65
1687708885,699033,65
1687708885,706416,65
1687708887,225571,67
1687708887,255878,67
1687708887,400851,67
1687708887,472444,67
1687708887,671392,67
1687708887,697733,67
1687708888,211612,68
1687708888,289317,68
1687708888,349677,68
1687708888,532175,68
1687708889,222517,69
1687708889,399602,69
1687708889,588158,69
1687708889,638173,69
1687708889,711444,69
1687708890,261417,70
1687708890,285063,70
1687708890,471860,70
1687708890,529610,70
1687708890,670177,70
1687708890,697708,70
1687708891,216131,71
1687708891,356960,71
1687708891,589356,71
1687708892,222937,72
1687708892,264312,72
1687708892,396213,72
1687708892,485332,72
1687708892,637274,72
1687708892,707836,72
1687708893,216241,73
1687708893,280201,73
1687708893,523637,73
1687708893,603619,73
1687708893,635075,73
1687708893,673205,73
1687708893,693439,72
1687708893,712119,72
1687708894,289464,73
1687708894,367931,73
1687708894,710124,73
1687708895,477991,74
1687708895,522885,74
1687708895,677968,74
1687708895,695248,74
1687708896,217995,75
1687708896,229531,75
1687708896,250997,75
1687708896,416784,75
1687708896,639314,75
1687708896,711985,75
1687708897,211916,76
1687708897,319986,76
1687708897,326012,76
1687708897,557681,76
1687708897,577599,76
1687708898,234819,77
1687708898,246099,77
1687708898,433210,77
1687708898,655091,77
1687708899,301293,78
1687708899,448535,78
1687708899,549288,78
1687708899,659420,78
1687708899,703065,78
1687708900,214044,79
1687708900,341574,79
1687708900,576876,79
1687708900,644861,79
1687708900,709547,79
1687708901,224741,80
1687708901,255038,80
1687708901,408963,80
1687708902,283263,81
1687708902,471708,81
1687708902,533485,81
1687708902,622718,80
1687708902,669193,80
1687708902,698451,80
1687708903,213314,81
1687708903,351575,81
1687708903,592498,81
1687708903,632090,81
1687708903,712667,81
1687708904,220961,82
1687708904,261362,82
1687708904,394764,82
1687708904,478749,82
1687708904,675324,82
1687708905,214398,83
1687708905,283025,83
1687708905,355389,83
1687708905,523758,83
1687708905,593365,83
1687708905,697210,83
1687708905,707618,83
1687708906,395366,84
1687708906,477466,84
1687708906,631537,84
1687708906,712610,84
1687708907,223978,85
1687708907,258538,85
1687708907,674088,85
1687708907,696165,85
1687708908,212521,86
1687708908,285819,86
1687708908,354202,86
1687708908,527259,86
1687708909,220909,87
1687708909,394319,87
1687708909,591956,87
1687708909,634660,87
1687708909,711769,87
1687708910,264082,88
1687708910,281627,88
1687708910,476940,88
1687708910,524707,88
1687708910,672598,87
1687708910,696123,87
1687708911,216795,88
1687708911,361435,88
1687708911,593583,88
1687708912,221702,89
1687708912,266909,89
1687708912,391363,89
1687708912,490513,89
1687708912,633656,89
1687708912,708192,89
1687708913,217319,90
1687708913,277236,90
1687708913,518367,90
1687708913,607597,90
1687708913,676189,90
1687708913,691616,90
1687708914,292907,91
1687708914,372624,91
1687708914,374242,91
1687708914,619046,91
1687708914,710661,91
1687708915,276895,92
1687708915,472834,92
1687708915,507361,92
1687708915,527710,92
1687708915,675497,92
1687708915,689239,92
1687708915,697071,92
1687708916,217204,93
1687708916,226488,93
1687708916,231541,93
1687708916,248532,93
1687708916,264648,93
1687708916,394685,93
1687708916,421865,93
1687708916,490784,93
1687708916,642684,93
1687708916,685857,93
1687708916,711039,93
1687708917,211733,93
1687708917,218421,93
1687708917,303593,93
1687708917,321484,93
1687708917,323824,93
1687708917,344149,93
1687708917,562020,93
1687708917,573137,93
1687708917,595681,93
1687708917,625441,93
1687708917,714683,93
1687708918,232854,94
1687708918,245391,94
1687708918,248548,94
1687708918,427827,94
1687708918,449842,94
1687708918,652152,94
1687708918,672906,94
1687708918,704401,94
1687708919,242654,95
1687708919,297410,95
1687708919,453433,95
1687708919,544641,95
1687708919,662353,95
1687708919,701699,95
1687708920,214339,96
1687708920,345864,96
1687708920,563270,96
1687708920,580885,96
1687708920,641531,96
1687708920,649186,96
1687708920,709454,96
1687708921,223186,97
1687708921,257826,97
1687708921,403653,97
1687708922,279827,98
1687708922,476947,98
1687708922,528481,98
1687708922,672035,98
1687708922,696668,98
1687708922,708703,97
1687708923,214347,98
1687708923,356020,98
1687708923,596307,98
1687708923,628485,98
1687708923,713097,98
1687708924,219568,99
1687708924,264367,99
1687708924,389417,99
1687708924,483904,99
1687708924,677834,99
1687708925,215473,100
1687708925,279407,100
1687708925,359903,100
1687708925,518836,100
