time,value,delta
1666340813,0,1666340813
1666340819,57,-40
1666340821,57,-85
1666340834,57,-118
1666340847,92,-152
1666340877,76,-168
1666340907,76,-185
1666340937,76,-201
1666340967,73,-218
1666340993,73,-238
1666340997,76,-281
1666341027,76,-297
1666341057,69,-314
1666341087,73,-330
1666341118,73,-346
1666341147,73,-363
1666341163,73,-394
1666341177,80,-426
1666341207,80,-443
1666341237,80,-459
1666341267,80,-476
1666341297,80,-492
1666341327,80,-509
1666341334,80,-548
1666341357,80,-572
1666341388,80,-587
1666341419,76,-603
1666341449,76,-619
1666341479,76,-636
1666341504,76,-657
1666341510,76,-698
1666341540,76,-714
1666341569,80,-732
1666341599,80,-748
1666341630,80,-764
1666341660,76,-780
1666341675,76,-812
1666341689,76,-844
1666341706,76,-874
1666341737,69,-889
1666341763,76,-909
1666341793,73,-926
1666341806,73,-959
1666341837,73,-975
1666341846,73,-1012
1666341855,73,-1050
1666341864,73,-1087
1666341866,73,-1132
1666341877,69,-1167
1666341889,69,-1202
1666341902,73,-1235
1666341920,73,-1264
1666341932,73,-1298
1666341963,73,-1314
1666341968,73,-1355
1666341972,73,-1398
1666341985,73,-1431
1666341997,69,-1466
1666342011,69,-1498
1666342021,69,-1535
1666342051,80,-1551
1666342081,76,-1568
1666342111,76,-1584
1666342141,73,-1601
1666342144,73,-1644
1666342171,100,-1664
1666342201,73,-1680
1666342231,73,-1697
1666342261,73,-1713
1666342291,73,-1730
1666342315,73,-1752
1666342321,73,-1793
1666342351,73,-1809
1666342381,73,-1826
1666342411,73,-1842
1666342441,76,-1859
1666342471,73,-1875
1666342486,73,-1907
1666342501,73,-1938
1666342531,76,-1954
1666342562,76,-1970
1666342613,76,-1965
1666342619,92,-2006
1666342622,92,-2049
1666342633,92,-2085
1666342646,80,-2118
1666342676,73,-2135
1666342706,73,-2151
1666342786,73,-2118
1666342792,84,-2158
1666342795,84,-2202
1666342803,84,-2240
1666342826,84,-2264
1666342829,73,-2307
1666342831,73,-2352
1666342835,73,-2394
1666342843,73,-2433
1666342906,76,-2416
1666342915,76,-2454
1666342974,73,-2441
1666342975,73,-2487
1666342976,73,-2532
1666342977,69,-2578
1666342980,69,-2621
1666342985,69,-2663
1666342986,69,-2708
1666342998,69,-2743
1666343006,69,-2781
1666343007,69,-2827
1666343028,73,-2852
