time,value,predict
1634662999,150,1634662999
1634663102,138,-27043
1634663201,163,-54090
1634663301,174,-81137
1634663401,176,-108183
1634663501,183,-135229
1634663601,192,-162275
1634663701,194,-189321
1634663801,190,-216368
1634663901,187,-243414
1634664001,181,-270460
1634664101,178,-297506
1634664201,166,-324552
1634664301,144,-351598
1634664401,124,-378645
1634664501,104,-405691
1634664601,88,-432737
1634664701,84,-459783
1634664801,79,-486829
1634664901,72,-513876
1634665001,69,-540922
1634665100,69,-567969
1634665201,67,-595014
1634665301,62,-622060
1634665401,59,-649107
1634665501,59,-676153
1634665601,55,-703199
1634665701,54,-730245
1634665801,63,-757291
1634665901,45,-784338
1634666001,40,-811384
1634666101,39,-838430
1634666201,40,-865476
1634666301,41,-892522
1634666401,40,-919569
1634666501,40,-946615
1634666601,39,-973661
1634666701,43,-1000707
1634666801,41,-1027753
1634666901,41,-1054799
1634667001,41,-1081846
1634667106,42,-1108887
1634667198,43,-1135941
1634667298,42,-1162987
1634667399,41,-1190032
1634667499,36,-1217079
1634667598,34,-1244126
1634667699,34,-1271171
1634667862,36,-1298154
1634667900,31,-1325262
1634668000,32,-1352309
1634668100,43,-1379355
1634668201,38,-1406400
1634668300,28,-1433447
1634668400,30,-1460493
1634668502,29,-1487538
1634668598,28,-1514588
1634668700,29,-1541632
1634668800,30,-1568678
1634668901,30,-1595723
1634669000,29,-1622771
1634669100,29,-1649817
1634669200,29,-1676863
1634669300,27,-1703909
1634669400,27,-1730955
1634669500,25,-1758001
1634669601,26,-1785047
1634669700,28,-1812094
1634669800,28,-1839140
1634669900,26,-1866186
1634670000,29,-1893232
1634670100,36,-1920279
1634670200,40,-1947325
1634670301,42,-1974370
1634670400,37,-2001417
1634670500,38,-2028463
1634670600,39,-2055510
1634670700,44,-2082556
1634670800,42,-2109602
1634670900,42,-2136648
1634670999,39,-2163695
1634671100,37,-2190741
1634671200,36,-2217787
1634671300,37,-2244833
1634671400,38,-2271879
1634671501,39,-2298924
1634671600,38,-2325971
1634671705,37,-2353013
1634671799,41,-2380065
1634671900,39,-2407110
1634672004,38,-2434152
1634672100,38,-2461202
1634672199,41,-2488250
1634672301,39,-2515294
1634672401,38,-2542340
1634672501,38,-2569386
1634672600,38,-2596433
1634672700,37,-2623480
1634672800,37,-2650526
1634672924,36,-2677548
1634672998,37,-2704620
1634673100,38,-2731664
1634673200,40,-2758711
1634673300,40,-2785757
1634673401,40,-2812802
1634673501,43,-2839848
1634673600,41,-2866895
1634673700,42,-2893942
1634673801,44,-2920987
1634673900,35,-2948034
1634674000,30,-2975080
1634674100,32,-3002126
1634674200,28,-3029172
1634674300,36,-3056219
1634674400,38,-3083265
1634674499,38,-3110312
1634674598,37,-3137359
1634674700,42,-3164403
1634674801,40,-3191449
1634674901,42,-3218495
1634675001,39,-3245541
1634675101,46,-3272587
1634675201,46,-3299633
1634675301,47,-3326680
1634675400,48,-3353727
1634675501,48,-3380772
1634675599,49,-3407820
1634675701,51,-3434864
1634675800,49,-3461912
1634675901,51,-3488957
1634676000,52,-3516004
1634676100,52,-3543050
1634676200,51,-3570096
1634676301,52,-3597141
1634676401,51,-3624188
1634676500,49,-3651235
1634676601,49,-3678280
1634676700,49,-3705327
1634676800,50,-3732373
1634676900,52,-3759420
1634677000,52,-3786466
1634677100,49,-3813512
1634677200,47,-3840558
1634677301,49,-3867603
1634677400,46,-3894651
1634677500,48,-3921697
1634677599,46,-3948744
1634677699,47,-3975790
1634677800,46,-4002835
1634677900,48,-4029882
1634678000,50,-4056928
1634678098,51,-4083976
1634678199,51,-4111021
1634678300,51,-4138066
1634678400,51,-4165113
1634678500,51,-4192159
1634678598,51,-4219207
1634678701,49,-4246250
1634678800,51,-4273297
1634678900,49,-4300343
1634678999,48,-4327391
1634679116,51,-4354420
1634679199,50,-4381483
1634679300,51,-4408528
1634679401,50,-4435573
1634679500,48,-4462621
1634679600,44,-4489667
1634679700,51,-4516713
1634679800,36,-4543759
1634679898,39,-4570807
1634680001,41,-4597851
1634680102,44,-4624896
1634680201,49,-4651943
1634680301,52,-4678989
1634680401,51,-4706035
1634680498,37,-4733085
1634680601,31,-4760128
1634680702,29,-4787173
1634680809,29,-4814212
1634680908,41,-4841259
1634681001,43,-4868313
1634681101,38,-4895359
1634681201,39,-4922405
1634681301,41,-4949451
1634681402,47,-4976496
1634681502,51,-5003542
1634681601,50,-5030590
1634681702,49,-5057635
1634681801,48,-5084682
1634681902,46,-5111727
1634682001,44,-5138774
1634682102,44,-5165820
1634682202,47,-5192866
1634682298,45,-5219916
1634682400,43,-5246960
1634682501,40,-5274005
1634682598,42,-5301055
1634682701,39,-5328098
1634682801,38,-5355144
1634682902,38,-5382189
1634683075,34,-5409162
1634683098,34,-5436286
1634683200,36,-5463330
1634683301,37,-5490375
1634683401,37,-5517421
1634683501,41,-5544467
1634683599,39,-5571515
1634683701,39,-5598560
1634683801,40,-5625606
1634683901,39,-5652652
1634684001,40,-5679698
1634684101,39,-5706744
1634684201,38,-5733791
1634684302,39,-5760836
1634684405,39,-5787879
1634684498,39,-5814932
1634684600,40,-5841976
1634684700,39,-5869023
1634684801,39,-5896068
1634684901,39,-5923114
1634685002,40,-5950159
1634685101,40,-5977206
1634685199,40,-6004255
1634685298,40,-6031302
1634685401,36,-6058345
1634685499,34,-6085393
1634685617,35,-6112421
1634685698,33,-6139487
1634685799,29,-6166532
1634685899,30,-6193578
1634686000,29,-6220623
1634686100,45,-6247669
1634686199,45,-6274716
1634686300,46,-6301762
1634686400,46,-6328808
1634686501,43,-6355853
1634686608,43,-6382892
1634686700,44,-6409946
1634686798,41,-6436995
1634686899,42,-6464040
1634687000,42,-6491085
1634687100,41,-6518131
1634687200,39,-6545177
1634687299,38,-6572225
1634687398,37,-6599272
1634687498,37,-6626318
1634687597,36,-6653365
1634687700,36,-6680408
1634687800,35,-6707455
1634687900,35,-6734501
1634687999,35,-6761548
1634688154,36,-6788539
1634688197,36,-6815642
1634688299,35,-6842687
1634688399,36,-6869733
1634688498,36,-6896780
1634688600,37,-6923824
1634688699,37,-6950871
1634688799,35,-6977917
1634688900,38,-7004963
1634688999,39,-7032010
1634689099,39,-7059056
1634689200,38,-7086101
1634689299,39,-7113148
1634689400,38,-7140194
1634689500,41,-7167240
1634689599,39,-7194287
1634689699,40,-7221333
1634689799,38,-7248379
1634689900,40,-7275425
1634689999,40,-7302472
1634690099,40,-7329518
1634690197,39,-7356566
1634690299,39,-7383610
1634690400,39,-7410656
1634690499,40,-7437703
1634690600,40,-7464748
1634690699,40,-7491795
1634690799,41,-7518841
1634690899,40,-7545887
1634690999,40,-7572934
1634691098,41,-7599981
1634691199,41,-7627026
1634691298,39,-7654073
1634691399,36,-7681118
1634691499,39,-7708165
1634691599,38,-7735211
1634691700,34,-7762256
1634691800,32,-7789302
1634691899,42,-7816349
1634692000,45,-7843395
1634692099,47,-7870442
1634692198,41,-7897489
1634692299,39,-7924534
1634692397,38,-7951582
1634692498,38,-7978628
1634692597,37,-8005675
1634692701,35,-8032717
1634692799,37,-8059765
1634692900,37,-8086810
1634692999,38,-8113858
1634693100,42,-8140903
1634693227,44,-8167922
1634693297,42,-8194998
1634693400,42,-8222041
1634693498,41,-8249089
1634693598,40,-8276136
1634693700,39,-8303180
1634693799,40,-8330227
1634693899,40,-8357273
1634693999,40,-8384319
1634694102,41,-8411363
1634694200,41,-8438411
1634694299,42,-8465458
1634694399,42,-8492504
1634694499,42,-8519550
1634694599,42,-8546597
1634694699,42,-8573643
1634694800,42,-8600688
1634694899,42,-8627735
1634695000,42,-8654780
1634695099,42,-8681828
1634695199,42,-8708874
1634695299,42,-8735920
1634695399,42,-8762966
1634695500,42,-8790011
1634695597,42,-8817060
1634695699,42,-8844105
1634695800,41,-8871150
1634695897,41,-8898199
1634695999,41,-8925243
1634696099,41,-8952289
1634696200,41,-8979335
1634696299,41,-9006382
1634696399,41,-9033428
1634696499,42,-9060474
1634696597,43,-9087522
1634696699,46,-9114567
1634696800,46,-9141612
1634696900,44,-9168658
1634697000,47,-9195704
1634697100,47,-9222750
1634697200,49,-9249797
1634697300,45,-9276843
1634697400,35,-9303889
1634697498,26,-9330937
1634697598,31,-9357983
1634697700,38,-9385028
1634697799,37,-9412075
1634697900,38,-9439120
1634698000,38,-9466166
1634698098,34,-9493214
1634698200,39,-9520258
1634698299,38,-9547306
1634698400,37,-9574351
1634698498,38,-9601399
1634698598,38,-9628445
1634698700,39,-9655489
1634698800,38,-9682536
1634698900,39,-9709582
1634699000,39,-9736628
1634699100,40,-9763674
1634699200,40,-9790720
1634699300,39,-9817767
1634699403,39,-9844810
1634699498,39,-9871861
1634699597,39,-9898908
1634699701,38,-9925950
1634699800,38,-9952998
1634699900,38,-9980044
1634700000,38,-10007090
1634700100,38,-10034136
1634700198,38,-10061184
1634700297,37,-10088232
1634700398,37,-10115277
1634700499,38,-10142322
1634700600,37,-10169367
1634700700,38,-10196413
1634700800,38,-10223459
1634700900,37,-10250506
1634701000,33,-10277552
1634701100,33,-10304598
1634701197,36,-10331647
1634701297,36,-10358693
1634701397,35,-10385740
1634701498,34,-10412785
1634701597,33,-10439832
1634701697,41,-10466878
1634701798,43,-10493923
1634701897,41,-10520971
1634701997,37,-10548017
1634702098,39,-10575062
1634702198,37,-10602108
1634702297,36,-10629155
1634702399,35,-10656200
1634702498,39,-10683247
1634702597,38,-10710294
1634702697,38,-10737340
1634702797,39,-10764386
1634702897,38,-10791432
1634702997,39,-10818479
1634703097,38,-10845525
1634703200,37,-10872568
1634703364,36,-10899550
1634703398,36,-10926662
1634703499,36,-10953708
1634703597,37,-10980756
1634703700,37,-11007799
1634703799,37,-11034846
1634703899,37,-11061892
1634703999,37,-11088939
1634704099,37,-11115985
1634704199,38,-11143031
1634704300,38,-11170076
1634704399,38,-11197123
1634704499,38,-11224170
1634704609,38,-11251206
1634704699,38,-11278262
1634704799,37,-11305308
1634704899,38,-11332354
1634704999,38,-11359401
1634705099,38,-11386447
1634705198,38,-11413494
1634705302,38,-11440536
1634705400,38,-11467584
1634705500,37,-11494630
1634705598,36,-11521679
1634705700,31,-11548723
1634705798,32,-11575771
1634705900,36,-11602815
1634706005,33,-11629856
1634706100,29,-11656908
1634706200,30,-11683954
1634706300,33,-11711000
1634706399,43,-11738047
1634706498,41,-11765094
1634706599,42,-11792140
1634706700,41,-11819185
1634706800,40,-11846231
1634706900,38,-11873277
1634707000,42,-11900323
1634707098,41,-11927372
1634707198,42,-11954418
1634707300,43,-11981462
1634707401,43,-12008507
1634707500,43,-12035554
1634707598,44,-12062603
1634707700,44,-12089647
1634707800,42,-12116693
1634707900,42,-12143739
1634707999,41,-12170786
1634708100,41,-12197831
1634708200,42,-12224878
1634708300,42,-12251924
1634708429,42,-12278941
1634708497,42,-12306019
1634708599,42,-12333063
1634708700,43,-12360109
