time,value,predict
1349146800,4767,1349146800
1349150400,5026,-325
1349154000,4918,-649
1349157600,5181,-974
1349161200,5584,-1299
1349164800,6015,-1623
1349168400,5791,-1948
1349172000,4770,-2273
1349175600,3539,-2597
1349179200,2784,-2922
1349182800,2361,-3247
1349186400,1529,-3571
1349190000,963,-3896
1349193600,506,-4221
1349197200,321,-4545
1349200800,273,-4870
1349204400,367,-5195
1349208000,814,-5519
1349211600,2718,-5844
1349215200,5673,-6169
1349222400,6511,-2893
1349226000,5471,-3218
1349236800,5097,3657
1349240400,4887,3333
1349244000,5337,3008
1349247600,5692,2683
1349251200,6137,2359
1349258400,4623,5634
1349262000,3591,5309
1349265600,2898,4985
1349269200,2637,4660
1349272800,1777,4335
1349276400,1015,4011
1349280000,598,3686
1349283600,369,3361
1349287200,312,3037
1349290800,367,2712
1349294400,835,2387
1349298000,2726,2063
1349301600,5689,1738
1349305200,6990,1413
1349308800,5985,1089
1349312400,5309,764
1349316000,4603,439
1349319600,4884,115
1349323200,5104,-210
1349326800,5178,-535
1349330400,5501,-859
1349334000,5713,-1184
1349337600,6292,-1509
1349341200,6057,-1833
1349344800,4907,-2158
1349348400,3503,-2483
1349352000,3037,-2807
1349355600,2822,-3132
1349359200,1992,-3457
1349362800,1166,-3781
1349366400,627,-4106
1349370000,388,-4431
1349377200,368,-1155
1349384400,2489,2120
1349388000,5537,1795
1349391600,6628,1471
1349395200,5534,1146
1349398800,5403,821
1349402400,4770,497
1349406000,5217,172
1349409600,5870,-153
1349413200,5967,-477
1349416800,6108,-802
1349420400,6128,-1127
1349424000,6069,-1451
1349427600,6169,-1776
1349431200,5384,-2101
1349434800,4063,-2425
1349438400,3364,-2750
1349442000,2971,-3075
1349445600,2450,-3399
1349449200,1832,-3724
1349452800,1231,-4049
1349456400,718,-4373
1349460000,545,-4698
1349467200,411,-1423
1349470800,688,-1747
1349474400,1352,-2072
1349478000,2072,-2397
1349481600,3342,-2721
1349485200,4258,-3046
1349488800,4861,-3371
1349492400,5191,-3695
1349496000,5669,-4020
1349499600,5074,-4345
1349503200,5025,-4669
1349506800,5153,-4994
1349510400,5024,-5319
1349514000,4779,-5643
1349517600,4362,-5968
1349521200,3860,-6293
1349524800,3160,-6617
1349528400,2992,-6942
1349532000,3202,-7267
1349535600,1941,-7591
1349539200,1233,-7916
1349550000,323,-1041
1349553600,312,-1365
1349557200,627,-1690
1349560800,1508,-2015
1349564400,1539,-2339
1349568000,2232,-2664
1349571600,4568,-2989
1349575200,4624,-3313
1349578800,4529,-3638
1349582400,5139,-3963
1349586000,6640,-4287
1349589600,6589,-4612
1349593200,4429,-4937
1349596800,4329,-5261
1349600400,3833,-5586
1349604000,4015,-5911
1349607600,3382,-6235
1349611200,2815,-6560
1349614800,2110,-6885
1349618400,1555,-7209
1349622000,959,-7534
1349625600,455,-7859
1349629200,336,-8183
1349632800,265,-8508
1349636400,314,-8833
1349640000,779,-9157
1349643600,2571,-9482
1349647200,5563,-9807
1349650800,6676,-10131
1349654400,5966,-10456
1349658000,4832,-10781
1349661600,4395,-11105
1349665200,4411,-11430
1349668800,4648,-11755
1349672400,4602,-12079
1349676000,5125,-12404
1349679600,5502,-12728
1349683200,5979,-13053
1349686800,5663,-13378
1349690400,4259,-13702
1349694000,3069,-14027
1349697600,2378,-14352
1349701200,2030,-14676
1349704800,1400,-15001
1349708400,917,-15326
1349712000,515,-15650
1349715600,302,-15975
1349719200,251,-16300
1349726400,798,-13024
1349730000,2678,-13349
1349733600,5733,-13674
1349737200,6449,-13998
1349740800,5765,-14323
1349744400,5599,-14648
1349748000,4534,-14972
1349751600,4691,-15297
1349755200,5067,-15622
1349758800,5030,-15946
1349762400,5300,-16271
1349766000,5777,-16596
1349769600,6349,-16920
1349773200,6127,-17245
1349776800,4460,-17570
1349780400,3418,-17894
1349784000,2775,-18219
1349787600,2306,-18544
1349791200,1846,-18868
1349794800,947,-19193
1349798400,494,-19518
1349802000,332,-19842
1349805600,261,-20167
1349809200,361,-20492
1349820000,5875,-13616
1349823600,6793,-13941
1349823600,6793,-17866
1349827200,6283,-18190
1349827200,6283,-22115
1349830800,5680,-22440
1349830800,5680,-26364
1349834400,4632,-26689
1349838000,4887,-27014
1349841600,5030,-27338
1349845200,5067,-27663
1349848800,5227,-27988
1349852400,5610,-28312
1349856000,6286,-28637
1349863200,4775,-25362
1349866800,3340,-25686
1349870400,3013,-26011
1349874000,2603,-26336
1349877600,1910,-26660
1349881200,1037,-26985
1349888400,347,-23710
1349895600,350,-20434
1349899200,850,-20759
1349902800,2791,-21084
1349906400,5809,-21408
1349910000,6798,-21733
1349913600,6304,-22058
1349917200,5291,-22382
1349920800,4638,-22707
1349935200,5557,-12232
1349938800,5818,-12556
1349942400,6272,-12881
1349946000,5944,-13206
1349949600,4949,-13530
1349953200,3511,-13855
1349956800,3039,-14180
1349960400,2679,-14504
1349964000,2094,-14829
1349967600,1284,-15154
1349971200,630,-15478
1349974800,410,-15803
1349978400,331,-16128
1349982000,372,-16452
1349985600,739,-16777
1349989200,2561,-17102
1349992800,5586,-17426
1349996400,6992,-17751
1350000000,5860,-18076
1350003600,5230,-18400
1350007200,4864,-18725
1350010800,5146,-19050
1350014400,5526,-19374
1350018000,5383,-19699
1350021600,5758,-20024
1350025200,5889,-20348
1350028800,6057,-20673
1350032400,6028,-20998
1350036000,5257,-21322
1350054000,1897,-7247
1350057600,1335,-7572
1350061200,769,-7896
1350064800,570,-8221
1350068400,413,-8546
1350072000,399,-8870
1350075600,740,-9195
1350079200,1420,-9520
1350082800,2220,-9844
1350086400,3479,-10169
1350090000,4546,-10494
1350093600,4579,-10818
1350097200,4438,-11143
1350100800,4623,-11468
1350104400,4440,-11792
1350108000,4495,-12117
1350111600,4483,-12442
1350115200,4591,-12766
1350118800,4477,-13091
1350122400,4221,-13416
1350126000,3672,-13740
1350129600,3015,-14065
1350133200,2769,-14390
1350136800,2875,-14714
1350140400,1931,-15039
1350144000,1309,-15364
1350147600,870,-15688
1350151200,654,-16013
1350154800,364,-16338
1350158400,262,-16662
1350162000,505,-16987
1350165600,861,-17312
1350169200,1132,-17636
1350172800,1797,-17961
1350176400,2685,-18286
1350176400,2685,-22210
1350176400,2685,-26135
1350180000,3370,-26460
1350180000,3370,-30384
1350183600,3662,-30709
1350183600,3662,-34634
1350187200,4076,-34958
1350187200,4076,-38883
1350187200,4076,-42808
1350190800,4128,-43132
1350190800,4128,-47057
1350190800,4128,-50982
1350194400,4358,-51306
1350194400,4358,-55231
1350194400,4358,-59156
1350198000,4342,-59480
1350198000,4342,-63405
1350201600,4234,-63730
1350205200,4271,-64054
1350205200,4271,-67979
1350208800,4080,-68304
1350212400,3453,-68628
1350216000,2718,-68953
1350219600,2439,-69278
1350223200,1819,-69602
1350226800,1002,-69927
1350226800,1002,-73852
1350230400,542,-74176
1350230400,542,-78101
1350234000,303,-78426
1350237600,239,-78750
1350241200,335,-79075
1350241200,335,-83000
1350244800,810,-83324
1350244800,810,-87249
1350248400,2606,-87574
1350248400,2606,-91498
1350252000,5714,-91823
1350255600,6798,-92148
1350259200,6114,-92472
1350262800,5094,-92797
1350266400,4473,-93122
1350270000,4529,-93446
1350273600,4823,-93771
1350277200,4872,-94096
1350280800,5238,-94420
1350284400,5584,-94745
1350288000,6246,-95070
1350291600,5957,-95394
1350295200,4535,-95719
1350298800,3234,-96044
1350302400,2677,-96368
1350306000,2077,-96693
1350309600,1380,-97018
1350313200,927,-97342
1350316800,500,-97667
1350320400,324,-97992
1350324000,257,-98316
1350327600,354,-98641
1350331200,769,-98966
1350334800,2769,-99290
1350338400,5789,-99615
1350342000,7055,-99940
1350345600,6408,-100264
1350349200,5254,-100589
1350352800,4547,-100914
1350356400,4784,-101238
1350360000,5015,-101563
1350363600,5057,-101888
1350367200,5430,-102212
1350370800,5813,-102537
1350374400,6496,-102862
1350378000,6429,-103186
1350381600,5142,-103511
1350385200,3311,-103836
1350388800,2777,-104160
1350392400,2331,-104485
1350396000,1767,-104810
1350399600,1093,-105134
1350403200,554,-105459
1350406800,333,-105784
1350410400,267,-106108
1350414000,358,-106433
1350417600,777,-106758
1350421200,2732,-107082
1350424800,5637,-107407
1350428400,5564,-107732
1350432000,6274,-108056
1350435600,5403,-108381
1350435600,5403,-112306
1350439200,4680,-112630
1350442800,4642,-112955
1350446400,4979,-113280
1350450000,4851,-113604
1350453600,4291,-113929
1350457200,4714,-114254
1350460800,6723,-114578
1350464400,6180,-114903
1350468000,4843,-115228
1350471600,3435,-115552
1350475200,2921,-115877
1350478800,2763,-116202
1350482400,1930,-116526
1350486000,1160,-116851
1350489600,654,-117176
1350493200,374,-117500
1350496800,301,-117825
1350500400,397,-118150
1350504000,794,-118474
1350507600,2564,-118799
1350511200,5358,-119124
1350514800,6441,-119448
1350518400,5536,-119773
1350522000,5256,-120098
1350525600,4619,-120422
1350529200,5107,-120747
1350532800,5147,-121072
1350536400,5283,-121396
1350540000,5704,-121721
1350543600,5887,-122046
1350547200,6307,-122370
1350550800,5953,-122695
1350554400,4519,-123020
1350558000,3427,-123344
1350561600,2921,-123669
1350565200,2649,-123994
1350568800,2005,-124318
1350572400,1177,-124643
1350576000,699,-124968
1350579600,436,-125292
1350583200,353,-125617
1350583200,353,-129542
1350586800,399,-129866
1350590400,720,-130191
1350590400,720,-134116
1350590400,720,-138040
1350590400,720,-141965
1350594000,2370,-142290
1350594000,2370,-146214
1350597600,5162,-146539
1350597600,5162,-150464
1350597600,5162,-154388
1350601200,5777,-154713
1350601200,5777,-158638
1350604800,5235,-158962
1350604800,5235,-162887
1350604800,5235,-166812
1350608400,4606,-167136
1350608400,4606,-171061
1350612000,4328,-171385
1350615600,4282,-171710
1350619200,4489,-172035
1350622800,4908,-172359
1350626400,5620,-172684
1350630000,5849,-173009
1350630000,5849,-176933
1350633600,4945,-177258
1350637200,4619,-177583
1350640800,4479,-177907
1350644400,3804,-178232
1350648000,2908,-178557
1350651600,2942,-178881
1350655200,3077,-179206
1350655200,3077,-183131
1350658800,2051,-183455
1350658800,2051,-187380
1350658800,2051,-191305
1350662400,1270,-191629
1350662400,1270,-195554
1350666000,773,-195879
1350666000,773,-199803
1350669600,589,-200128
1350673200,432,-200453
1350673200,432,-204377
1350676800,401,-204702
1350676800,401,-208627
1350676800,401,-212551
1350680400,759,-212876
1350680400,759,-216801
1350680400,759,-220725
1350684000,1313,-221050
1350684000,1313,-224975
1350684000,1313,-228899
1350687600,1824,-229224
1350687600,1824,-233149
1350687600,1824,-237073
1350691200,2787,-237398
1350691200,2787,-241323
1350691200,2787,-245247
1350694800,3713,-245572
1350694800,3713,-249497
1350694800,3713,-253421
1350694800,3713,-257346
1350698400,3815,-257671
1350698400,3815,-261595
1350698400,3815,-265520
1350698400,3815,-269445
1350702000,4339,-269769
1350702000,4339,-273694
1350702000,4339,-277619
1350705600,4613,-277943
1350705600,4613,-281868
1350705600,4613,-285793
1350705600,4613,-289717
1350709200,4507,-290042
1350712800,4452,-290367
1350716400,4636,-290691
1350720000,4810,-291016
1350723600,5125,-291341
1350727200,4337,-291665
1350730800,3644,-291990
1350734400,3107,-292315
1350738000,2929,-292639
1350741600,2865,-292964
1350745200,2340,-293289
1350748800,1372,-293613
1350777600,1928,-268738
1350777600,1928,-272663
1350810000,4695,-244187
1350813600,4335,-244512
1350828000,1583,-234037
1350831600,959,-234361
1350835200,498,-234686
1350838800,306,-235011
1350842400,259,-235335
1350846000,324,-235660
1350849600,806,-235985
1350853200,2622,-236309
1350856800,5456,-236634
1350871200,4324,-226159
1350874800,4378,-226483
1350878400,4639,-226808
1350882000,4546,-227133
1350885600,5006,-227457
1350889200,5361,-227782
1350892800,6101,-228107
1350896400,5781,-228431
1350900000,4272,-228756
1350903600,3091,-229081
