time,value,predict
1196870400,1085,1196870400
1196956800,1090,-42187
1197216000,1085,88427
1197302400,1084,46240
1197388800,1035,4054
1197475200,1050,-38133
1197561600,1130,-80319
1197820800,1110,50294
1197907200,1060,8108
1197993600,1088,-34079
1198080000,1090,-76265
1198425600,1090,140748
1198598400,1174,184962
1198684800,1210,142775
1198771200,1200,100589
1199030400,1260,231202
1199116800,1297,189016
1199203200,1310,146829
1199289600,1310,104643
1199376000,1282,62456
1199635200,1240,193070
1199721600,1240,150883
1199808000,1220,108697
1199894400,1180,66510
1199980800,1170,24324
1200240000,1080,154937
1200326400,1040,112751
1200412800,1045,70564
1200499200,1051,28378
1200585600,1023,-13809
1200844800,990,116805
1200931200,780,74618
1201017600,800,32432
1201104000,875,-9755
1201190400,849,-51941
1201449600,860,78672
1201536000,830,36486
1201622400,847,-5701
1201708800,840,-47887
1201795200,843,-90074
1202054400,826,40540
1202140800,851,-1647
1202227200,811,-43833
1202313600,820,-86020
1202400000,798,-128206
1202659200,792,2407
1202745600,715,-39779
1202832000,685,-81966
1202918400,695,-124152
1203004800,695,-166339
1203264000,747,-35726
1203350400,779,-77912
1203436800,758,-120099
1203523200,740,-162285
1203609600,725,-204472
1203868800,730,-73858
1203955200,713,-116045
1204041600,740,-158231
1204128000,743,-200418
1204214400,738,-242604
1204473600,710,-111991
1204560000,701,-154177
1204646400,666,-196364
1204819200,625,-152150
1205078400,590,-21537
1205164800,599,-63723
1205251200,640,-105910
1205337600,585,-148096
1205424000,575,-190283
1205683200,548,-59669
1205769600,522,-101856
1205856000,520,-144042
1206288000,502,159371
1206374400,480,117185
1206460800,501,74998
1206547200,495,32812
1206633600,520,-9375
1206892800,620,121239
1206979200,580,79052
1207065600,599,36866
1207152000,610,-5321
1207238400,605,-47507
1207497600,600,83106
1207584000,591,40920
1207670400,590,-1267
1207756800,602,-43453
1207843200,622,-85640
1208188800,612,131374
1208275200,646,89187
1208361600,644,47001
1208707200,640,264014
1208793600,640,221828
1208880000,665,179641
1208966400,670,137455
1209052800,672,95268
1209312000,720,225882
1209398400,740,183695
1209484800,742,141509
1209657600,764,185722
1209916800,774,316335
1210003200,750,274149
1210089600,760,231962
1210176000,761,189776
1210262400,775,147589
1210521600,780,278203
1210608000,812,236016
1210694400,790,193830
1210780800,800,151643
1210867200,800,109457
1211212800,775,326470
1211299200,875,284284
1211385600,888,242097
1211472000,884,199911
1211731200,850,330524
1211817600,901,288338
1211904000,869,246151
1211990400,850,203965
1212076800,840,161778
