time,value,predict
132539,6,132539
132540,16,-2
132541,21,-3
132543,7,-4
132545,17,-4
132547,14,-5
132548,14,-6
132551,19,-6
132554,11,-5
132555,14,-7
132556,15,-8
132567,13,0
132568,7,-2
132570,14,-2
132573,12,-2
132575,25,-2
132577,18,-3
132582,9,0
132584,28,-1
132585,18,-2
132588,-1,-2
132590,17,-2
132591,10,-4
132592,15,-5
132595,-1,-5
132597,-1,-6
132598,22,-7
132599,10,-9
132601,16,-9
132602,13,-11
132605,21,-10
132610,-1,-8
132612,13,-8
132614,8,-9
132615,20,-10
132617,8,-11
132618,16,-13
132622,14,-11
132623,16,-13
132632,20,-6
132634,13,-7
132635,11,-8
132636,15,-10
132637,19,-11
132639,25,-12
132642,17,-11
132644,9,-12
132647,-1,-11
132648,20,-13
132650,18,-14
132653,22,-13
132658,25,-11
132659,18,-12
132662,8,-12
132663,6,-13
132664,13,-15
132666,-1,-15
132669,22,-15
132671,4,-15
132680,16,-9
132682,20,-10
132683,12,-11
132685,6,-12
132686,17,-13
132688,19,-14
132694,9,-10
132695,14,-12
132698,12,-11
132700,5,-12
132703,11,-11
132704,18,-13
132705,20,-14
132708,10,-14
132710,10,-15
132717,12,-10
132720,10,-10
132721,19,-11
132722,15,-13
132726,22,-11
132729,17,-11
132732,8,-10
132737,22,-8
132738,19,-9
132744,-1,-6
132745,15,-8
132747,13,-8
132758,13,0
132765,20,5
132766,14,3
132767,15,2
132769,7,1
132772,-1,2
132773,10,0
132774,12,-1
132776,12,-2
132777,12,-3
132780,6,-3
132781,18,-5
132783,6,-5
132786,-1,-5
132790,17,-3
132791,10,-5
132792,17,-6
132797,21,-4
132798,17,-5
132799,13,-7
132801,14,-7
132805,9,-6
132806,15,-8
132810,21,-6
132811,20,-8
132812,8,-9
132813,21,-11
132814,11,-12
132819,11,-10
132821,24,-10
132826,14,-8
132827,13,-9
132830,13,-9
132832,22,-9
132835,12,-9
132836,13,-11
132837,20,-12
132838,17,-14
132842,14,-12
132844,12,-13
132845,17,-14
132848,10,-14
132850,14,-14
132851,14,-16
132852,18,-17
132853,18,-19
132855,17,-20
132857,20,-20
132859,16,-21
132860,16,-22
132863,9,-22
132864,16,-23
132865,5,-25
132866,14,-26
132872,13,-23
132877,11,-20
132878,11,-22
132881,17,-21
132884,10,-21
132891,9,-17
132892,10,-18
132893,26,-20
132894,12,-21
132895,17,-23
132898,17,-22
132902,10,-21
132903,18,-22
132906,8,-22
132907,14,-23
132911,23,-22
132915,10,-21
132917,18,-21
132919,10,-22
132922,16,-21
132923,13,-23
132929,13,-19
132933,18,-18
132934,18,-19
132936,10,-20
132939,16,-19
132946,16,-15
132949,12,-14
132958,12,-8
132959,20,-10
132960,31,-11
132962,16,-12
132963,18,-13
132965,18,-14
132969,9,-12
132971,17,-13
132973,9,-13
132979,11,-10
132988,-1,-3
132992,-1,-2
132995,7,-2
132996,10,-3
133001,11,-1
133002,8,-2
133004,18,-3
133009,11,0
133016,18,4
133017,14,3
133021,21,4
133022,21,3
133023,19,1
133024,12,0
133025,16,-2
133026,12,-4
133027,18,-5
133029,20,-6
133031,23,-6
133032,16,-8
133035,19,-7
133038,11,-7
133039,-1,-8
133040,24,-10
133059,8,7
133061,15,6
133062,13,4
133064,3,4
133066,32,3
133071,7,6
133079,-1,11
133080,10,10
133086,13,13
133091,4,16
133092,11,14
133098,17,18
133104,14,21
133106,11,21
133109,11,21
133117,14,26
133120,9,27
133121,9,25
133122,19,24
133125,20,24
133126,11,23
133127,19,21
133131,18,23
133134,9,23
133140,7,27
133141,-1,25
133146,11,27
133147,5,26
133148,10,24
133151,16,25
133152,15,23
133153,16,22
133154,18,20
133157,8,21
133163,12,24
133164,13,23
133166,23,22
133172,21,26
133177,15,28
133179,12,27
133180,14,26
133183,10,26
133185,18,26
133188,7,26
133189,17,25
133190,28,23
133193,18,24
133196,9,24
133197,16,23
133204,10,27
133206,24,26
133207,23,25
133210,13,25
133213,-1,26
133215,11,25
133217,18,25
133219,15,24
133220,12,23
133222,17,22
133223,9,21
133225,21,20
133226,19,19
133227,26,17
133228,5,15
133232,17,17
133236,15,18
133237,21,17
133243,26,20
133245,12,20
133246,14,18
133247,11,17
133248,18,15
133257,16,22
133259,22,21
133261,-1,20
133262,18,19
133263,10,17
133267,20,19
133268,8,17
133269,-1,16
133270,11,14
133271,15,13
133273,22,12
133274,15,11
133275,11,9
133277,21,9
133278,17,7
133280,7,6
133281,20,5
133282,21,3
133284,16,3
133286,15,2
133287,18,1
133289,-1,0
133291,18,0
133295,8,1
133297,-1,1
133298,14,-1
133300,18,-2
133301,24,-3
133302,12,-5
133303,13,-6
133304,16,-8
133308,33,-6
133312,12,-5
133318,15,-1
133320,5,-2
133322,11,-2
133325,20,-2
133326,18,-3
133327,13,-5
133328,13,-7
133333,20,-4
133335,14,-5
133336,21,-6
133341,18,-4
133343,23,-4
133347,7,-3
133357,15,5
133359,14,4
133361,13,4
133363,13,3
133367,-1,4
133368,16,3
133370,19,2
133372,-1,2
133375,21,2
133377,23,2
133380,13,2
133381,21,1
133384,11,1
133388,14,3
133390,21,2
133394,12,4
133396,-1,3
133397,5,1
133399,19,1
133401,16,0
133403,12,0
133404,22,-2
133405,14,-3
133406,6,-5
133412,21,-1
133413,18,-3
133418,19,0
133419,25,-2
133420,16,-4
133426,22,0
133427,16,-2
133428,11,-3
133430,9,-4
133431,16,-5
133432,16,-7
133433,16,-8
133434,15,-10
133436,24,-10
133441,18,-8
133444,5,-7
133454,18,0
133457,22,0
133458,22,-1
133463,15,1
133473,12,9
133476,8,9
133478,8,9
133481,13,9
133483,23,9
133485,16,8
133487,8,8
133488,15,6
133489,22,4
133492,10,5
133493,9,3
133494,17,2
133495,10,0
133497,19,0
133499,18,-1
133506,8,4
133507,14,2
133510,19,3
133512,17,2
133513,19,1
133514,10,-1
133516,4,-2
133522,23,2
133525,13,2
133527,22,2
133528,14,0
133534,-1,4
133537,14,4
133539,19,4
133540,11,2
133544,11,4
133546,18,3
133549,22,3
133551,15,3
133552,14,1
133560,15,7
133561,12,5
133563,18,5
133564,23,3
133565,21,2
133570,12,4
133574,16,6
133578,-1,7
133579,18,6
133581,21,5
133583,14,4
133585,17,4
133587,10,3
133588,15,2
133589,9,0
133592,8,1
133593,12,-1
133599,20,3
133600,14,1
133605,11,4
133607,22,3
133608,19,1
133609,10,0
133611,20,-1
133619,15,5
133620,15,3
133622,-1,3
133623,14,1
133626,10,2
133628,-1,1
133632,21,3
133633,13,1
133634,15,0
133635,8,-2
133636,16,-4
133640,18,-2
133643,8,-2
133644,21,-3
133645,14,-5
133649,16,-3
133651,9,-4
133653,13,-4
133654,10,-6
133657,11,-5
133659,6,-6
133663,18,-5
133671,12,1
133672,20,-1
133675,10,0
133682,6,4
133683,8,3
133684,18,1
133687,13,2
133688,8,0
133691,22,1
133693,12,0
133696,12,1
133699,19,1
133704,18,3
133706,9,3
133708,21,2
133711,12,3
133713,12,2
133714,15,1
133715,17,-1
133718,21,0
133719,13,-2
133720,8,-3
133724,25,-2
133728,9,-1
133734,9,3
133740,-1,6
133743,11,7
133746,8,7
133748,14,7
133751,20,7
133755,18,9
133763,8,14
