generation_time,C.NTP.offset,Difference
1407240416148.0,6683.0,1407240416148.0
1407240416307.0,6683.0,138.0
1407240416501.0,6683.0,312.0
1407240416720.0,6683.0,510.0
1407240416911.0,6683.0,680.0
1407240417111.0,6683.0,859.0
1407240417290.0,6683.0,1018.0
1407240417487.0,6683.0,1194.0
1407240417701.0,50413.0,1387.0
1407240417714.0,6683.0,1380.0
1407240417892.0,50413.0,1537.0
1407240417911.0,6683.0,1535.0
1407240418092.0,50413.0,1695.0
1407240418114.0,6683.0,1697.0
1407240418294.0,50413.0,1856.0
1407240418315.0,6683.0,1856.0
1407240418494.0,50413.0,2015.0
1407240418515.0,6683.0,2015.0
1407240418699.0,50413.0,2178.0
1407240418701.0,6683.0,2159.0
1407240418826.0,1124.0,2264.0
1407240418892.0,6683.0,2309.0
1407240418897.0,50413.0,2293.0
1407240418982.0,1124.0,2358.0
1407240419113.0,6683.0,2468.0
1407240419125.0,50413.0,2459.0
1407240419185.0,1124.0,2498.0
1407240419205.0,-70798.0,2498.0
1407240419224.0,714.0,2496.0
1407240419237.0,-890.0,2488.0
1407240419299.0,6683.0,2530.0
1407240419307.0,50413.0,2517.0
1407240419388.0,1124.0,2577.0
1407240419445.0,714.0,2613.0
1407240419458.0,-890.0,2606.0
1407240419462.0,-70798.0,2589.0
1407240419497.0,50413.0,2603.0
1407240419513.0,6683.0,2599.0
1407240419590.0,1124.0,2655.0
1407240419608.0,-890.0,2652.0
1407240419623.0,714.0,2647.0
1407240419631.0,-70798.0,2634.0
1407240419697.0,50413.0,2679.0
1407240419760.0,6683.0,2721.0
1407240419793.0,1124.0,2734.0
1407240419797.0,-70798.0,2717.0
1407240419810.0,-890.0,2709.0
1407240419857.0,714.0,2736.0
1407240419890.0,6683.0,2748.0
1407240419897.0,50413.0,2734.0
1407240419954.0,105.0,2770.0
1407240419979.0,-70798.0,2775.0
1407240419980.0,1124.0,2755.0
1407240420018.0,-890.0,2772.0
1407240420050.0,714.0,2784.0
1407240420095.0,50413.0,2808.0
1407240420110.0,105.0,2802.0
1407240420112.0,6683.0,2783.0
1407240420147.0,1378.0,2798.0
1407240420183.0,1124.0,2813.0
1407240420194.0,-70798.0,2803.0
1407240420256.0,714.0,2845.0
1407240420257.0,-890.0,2825.0
1407240420299.0,50413.0,2846.0
1407240420313.0,105.0,2839.0
1407240420318.0,1378.0,2824.0
1407240420334.0,6683.0,2819.0
1407240420371.0,-70798.0,2835.0
1407240420386.0,1124.0,2830.0
1407240420425.0,714.0,2848.0
1407240420428.0,-890.0,2830.0
1407240420483.0,1378.0,2864.0
1407240420500.0,50413.0,2861.0
1407240420516.0,105.0,2856.0
1407240420528.0,6683.0,2847.0
1407240420570.0,-70798.0,2869.0
1407240420589.0,1124.0,2867.0
1407240420637.0,-890.0,2894.0
1407240420655.0,714.0,2891.0
1407240420681.0,1378.0,2897.0
1407240420719.0,105.0,2914.0
