time,value,predict
1623308085,440,1623308085
1623308087,440,-5
1623308089,440,-10
1623308092,440,-14
1623308094,440,-19
1623308096,439,-24
1623308098,439,-29
1623308100,442,-34
1623308103,442,-38
1623308105,442,-43
1623308107,435,-49
1623308109,435,-54
1623308111,435,-59
1623308114,437,-63
1623308116,437,-68
1623308118,437,-73
1623308120,446,-78
1623308123,446,-82
1623308125,446,-87
1623308127,442,-92
1623308129,442,-97
1623308131,449,-102
1623308134,449,-106
1623308136,449,-111
1623308138,439,-116
1623308140,439,-121
1623308142,439,-126
1623308145,440,-130
1623308147,440,-135
1623308149,440,-140
1623308151,441,-146
1623308153,441,-151
1623308156,448,-155
1623308158,448,-160
1623308160,448,-165
1623308162,436,-170
1623308165,436,-174
1623308167,436,-179
1623308169,440,-184
1623308171,440,-189
1623308173,440,-194
1623308176,431,-198
1623308178,431,-203
1623308180,431,-208
1623308182,436,-213
1623308184,436,-218
1623308187,442,-222
1623308189,442,-227
1623308191,442,-232
1623308193,442,-238
1623308196,442,-242
1623308198,442,-247
1623308200,446,-252
1623308202,446,-257
1623308204,446,-262
1623308207,434,-266
1623308209,434,-271
1623308211,441,-276
1623308213,441,-281
1623308215,441,-286
1623308218,444,-290
1623308220,444,-295
1623308222,444,-300
1623308224,439,-305
1623308227,439,-309
1623308229,439,-314
1623308231,444,-319
1623308233,444,-324
1623308235,444,-330
1623308238,442,-334
1623308240,442,-339
1623308242,427,-344
1623308244,427,-349
1623308246,427,-354
1623308249,436,-358
1623308251,436,-363
1623308253,436,-368
1623308255,439,-373
1623308257,439,-378
1623308260,439,-382
1623308262,443,-387
1623308264,443,-392
1623308266,443,-397
1623308269,427,-401
1623308271,427,-406
1623308273,436,-411
1623308275,436,-416
1623308277,436,-421
1623308280,439,-426
1623308282,439,-431
1623308284,439,-436
1623308286,442,-441
1623308288,442,-446
1623308291,442,-450
1623308293,439,-455
1623308295,439,-460
1623308297,456,-465
1623308299,456,-470
1623308302,456,-474
1623308304,436,-479
1623308306,436,-484
1623308308,436,-489
1623308311,460,-493
1623308313,460,-498
1623308315,460,-503
1623308317,458,-508
1623308319,458,-513
1623308322,458,-518
1623308324,461,-523
1623308326,461,-528
1623308328,444,-533
1623308331,444,-537
1623308333,444,-542
1623308335,446,-547
1623308337,446,-552
1623308339,446,-557
1623308342,483,-561
1623308344,483,-566
1623308346,483,-571
1623308348,499,-576
1623308350,499,-581
1623308353,451,-585
1623308355,451,-590
1623308357,451,-595
1623308359,450,-600
1623308361,450,-605
1623308364,450,-610
1623308366,440,-615
1623308368,440,-620
1623308370,440,-625
1623308372,450,-630
1623308375,450,-634
1623308377,450,-639
1623308379,451,-644
1623308381,451,-649
1623308384,436,-653
1623308386,436,-658
1623308388,436,-663
1623308390,442,-668
1623308392,442,-673
1623308395,442,-677
1623308397,434,-682
1623308399,434,-687
1623308401,434,-692
1623308403,443,-697
1623308406,443,-701
1623308408,443,-707
1623308410,443,-712
1623308412,443,-717
1623308414,439,-722
1623308417,439,-726
1623308419,439,-731
1623308421,434,-736
1623308423,434,-741
1623308425,434,-746
1623308428,437,-750
1623308430,437,-755
1623308432,437,-760
1623308434,447,-765
1623308437,447,-769
1623308439,447,-774
1623308441,435,-779
1623308443,435,-784
1623308445,422,-789
1623308448,422,-793
1623308450,422,-799
1623308452,441,-804
1623308454,441,-809
1623308457,441,-813
1623308459,442,-818
1623308461,442,-823
1623308463,442,-828
1623308465,443,-833
1623308468,443,-837
1623308470,431,-842
1623308472,431,-847
1623308474,431,-852
1623308476,440,-857
1623308479,440,-861
1623308481,440,-866
1623308483,436,-871
1623308485,436,-876
1623308487,436,-881
1623308490,439,-885
1623308492,439,-891
1623308494,439,-896
1623308496,439,-901
1623308498,439,-906
1623308501,442,-910
1623308503,442,-915
1623308505,442,-920
1623308507,435,-925
1623308510,435,-929
1623308512,435,-934
1623308514,447,-939
1623308516,447,-944
1623308518,447,-949
1623308521,442,-953
1623308523,442,-958
1623308525,442,-963
1623308527,434,-968
1623308529,434,-973
1623308532,443,-977
1623308534,443,-982
1623308536,443,-988
1623308538,439,-993
1623308540,439,-998
1623308543,439,-1002
1623308545,443,-1007
1623308547,443,-1012
1623308549,443,-1017
1623308552,431,-1021
1623308554,431,-1026
1623308556,440,-1031
1623308558,440,-1036
1623308561,440,-1040
1623308563,430,-1045
1623308565,430,-1050
1623308567,430,-1055
1623308569,441,-1060
1623308572,441,-1064
1623308574,441,-1069
1623308576,448,-1074
1623308578,448,-1080
1623308580,448,-1085
1623308583,431,-1089
1623308585,431,-1094
1623308587,440,-1099
1623308589,440,-1104
1623308591,440,-1109
1623308594,443,-1113
1623308596,443,-1118
1623308598,443,-1123
1623308600,439,-1128
1623308603,439,-1132
1623308605,439,-1137
1623308607,440,-1142
1623308609,440,-1147
1623308611,435,-1152
1623308614,435,-1156
1623308616,435,-1161
1623308618,444,-1166
1623308620,444,-1172
1623308622,444,-1177
1623308625,439,-1181
1623308627,439,-1186
1623308629,439,-1191
1623308631,453,-1196
1623308633,453,-1201
1623308636,453,-1205
1623308638,443,-1210
1623308640,443,-1215
1623308642,444,-1220
1623308644,444,-1225
1623308647,444,-1229
1623308649,442,-1234
1623308651,442,-1239
1623308653,442,-1244
1623308655,440,-1249
1623308658,440,-1253
1623308660,440,-1258
1623308662,446,-1263
1623308664,446,-1269
1623308667,446,-1273
1623308669,440,-1278
1623308671,440,-1283
1623308673,437,-1288
1623308675,437,-1293
1623308678,437,-1297
1623308680,452,-1302
1623308682,452,-1307
1623308684,452,-1312
1623308686,442,-1317
1623308689,442,-1321
1623308691,442,-1326
1623308693,467,-1331
1623308695,467,-1336
1623308697,467,-1341
1623308700,469,-1345
1623308702,469,-1350
1623308704,435,-1355
1623308706,435,-1361
1623308709,435,-1365
1623308711,442,-1370
1623308713,442,-1375
1623308715,442,-1380
1623308717,452,-1385
1623308720,452,-1389
1623308722,452,-1394
1623308724,451,-1399
1623308726,451,-1404
1623308728,437,-1409
1623308731,437,-1413
1623308733,437,-1418
1623308735,443,-1423
1623308737,443,-1428
1623308740,443,-1432
1623308742,448,-1437
1623308744,448,-1442
1623308746,448,-1447
1623308748,479,-1453
1623308751,479,-1457
1623308753,479,-1462
1623308755,455,-1467
1623308757,455,-1472
1623308759,442,-1477
1623308762,442,-1481
1623308764,442,-1486
1623308766,446,-1491
1623308768,446,-1496
1623308770,446,-1501
1623308773,444,-1505
1623308775,444,-1510
1623308777,444,-1515
1623308779,450,-1520
1623308782,450,-1524
1623308784,499,-1529
1623308786,499,-1534
1623308788,499,-1539
1623308791,450,-1543
1623308793,450,-1549
1623308795,450,-1554
1623308797,467,-1559
1623308799,467,-1564
1623308802,467,-1568
1623308804,443,-1573
1623308806,443,-1578
1623308808,443,-1583
1623308810,440,-1588
1623308813,440,-1592
1623308815,452,-1597
1623308817,452,-1602
1623308819,452,-1607
1623308821,441,-1612
1623308824,441,-1616
1623308826,441,-1621
1623308828,447,-1626
1623308830,447,-1631
1623308832,447,-1636
1623308835,444,-1641
1623308837,444,-1646
1623308839,444,-1651
1623308841,439,-1656
1623308843,439,-1661
1623308846,437,-1665
1623308848,437,-1670
1623308850,437,-1675
1623308852,443,-1680
1623308855,443,-1684
1623308857,443,-1689
1623308859,446,-1694
1623308861,446,-1699
1623308863,446,-1704
1623308866,446,-1708
1623308868,446,-1713
1623308870,483,-1718
1623308872,483,-1723
1623308874,483,-1728
1623308877,492,-1732
1623308879,492,-1738
1623308881,492,-1743
1623308883,436,-1748
1623308885,436,-1753
1623308888,436,-1757
1623308890,448,-1762
1623308892,448,-1767
1623308894,448,-1772
1623308897,437,-1776
1623308899,437,-1781
1623308901,456,-1786
1623308903,456,-1791
1623308905,456,-1796
1623308908,451,-1800
1623308910,451,-1805
1623308912,451,-1810
1623308914,447,-1815
1623308916,447,-1820
1623308919,447,-1824
1623308921,463,-1830
1623308923,463,-1835
1623308925,463,-1840
1623308928,449,-1844
1623308930,449,-1849
1623308932,443,-1854
1623308934,443,-1859
1623308936,443,-1864
1623308939,447,-1868
1623308941,447,-1873
1623308943,447,-1878
1623308945,444,-1883
1623308947,444,-1888
1623308950,444,-1892
1623308952,448,-1897
1623308954,448,-1902
1623308956,456,-1907
1623308959,456,-1911
1623308961,456,-1916
1623308963,446,-1922
1623308965,446,-1927
1623308967,446,-1932
1623308970,441,-1936
1623308972,441,-1941
1623308974,441,-1946
1623308976,437,-1951
1623308978,437,-1956
1623308981,437,-1960
1623308983,447,-1965
1623308985,447,-1970
1623308987,444,-1975
1623308989,444,-1980
1623308992,444,-1984
1623308994,446,-1989
1623308996,446,-1994
1623308998,446,-1999
1623309000,449,-2004
1623309003,449,-2008
1623309005,449,-2013
1623309007,448,-2019
1623309009,448,-2024
1623309011,448,-2029
1623309014,442,-2033
1623309016,442,-2038
1623309018,444,-2043
1623309020,444,-2048
1623309023,444,-2052
1623309025,443,-2057
1623309027,443,-2062
1623309029,443,-2067
1623309032,447,-2071
1623309034,447,-2076
1623309036,447,-2081
1623309038,449,-2086
1623309040,449,-2091
1623309043,440,-2095
1623309045,440,-2100
1623309047,440,-2105
1623309049,448,-2111
1623309052,448,-2115
1623309054,448,-2120
1623309056,452,-2125
1623309058,452,-2130
1623309060,452,-2135
1623309063,448,-2139
1623309069,447,-2140
1623309072,447,-2144
1623309074,453,-2149
1623309076,453,-2154
1623309078,453,-2159
1623309080,465,-2164
1623309083,465,-2168
1623309085,465,-2173
1623309087,455,-2178
1623309089,455,-2183
1623309091,455,-2188
1623309094,450,-2192
1623309096,450,-2198
1623309098,450,-2203
1623309100,450,-2208
1623309102,450,-2213
1623309105,439,-2217
1623309107,439,-2222
1623309109,439,-2227
1623309111,436,-2232
1623309113,436,-2237
1623309116,436,-2241
1623309118,451,-2246
1623309120,451,-2251
1623309122,451,-2256
1623309128,456,-2257
1623309130,442,-2262
1623309132,442,-2267
1623309134,442,-2272
1623309136,441,-2277
1623309139,441,-2281
1623309141,441,-2286
1623309143,443,-2292
1623309145,443,-2297
