time,value,predict
1494000001,479339,1494000001
1494000007,668511,5
1494000007,1017566,4
1494000008,451142,5
1494000008,833999,4
1494000011,166434,6
1494000011,873820,5
1494000011,1038486,5
1494000012,74743,5
1494000012,423196,4
1494000012,483079,3
1494000015,1125377,6
1494000016,618840,6
1494000017,1004483,6
1494000021,111564,9
1494000022,169951,10
1494000025,943245,12
1494000026,610332,12
1494000027,659652,12
1494000028,389485,13
1494000030,614649,14
1494000031,860766,14
1494000031,893207,13
1494000032,873674,14
1494000032,975386,13
1494000034,610501,14
1494000034,614569,13
1494000035,263829,14
1494000036,120847,14
1494000038,781936,15
1494000039,196120,15
1494000040,864231,16
1494000041,627296,16
1494000045,423196,19
1494000045,642727,18
1494000049,1077944,22
1494000054,444706,26
1494000054,639679,25
1494000055,911526,25
1494000055,911526,25
1494000055,1076432,24
1494000056,1109385,24
1494000057,636206,24
1494000060,8852,27
1494000060,575288,26
1494000060,813919,25
1494000062,521167,26
1494000062,594719,26
1494000062,727790,25
1494000063,970799,25
1494000065,190819,26
1494000065,279521,26
1494000065,279521,25
1494000066,375561,25
1494000067,661692,25
1494000067,661692,25
1494000070,620294,27
1494000071,560627,27
1494000071,777571,26
1494000072,249020,27
1494000072,895552,26
1494000075,283808,28
1494000076,141635,28
1494000077,26873,29
1494000077,277639,28
1494000079,905728,29
1494000081,563127,30
1494000082,6445,30
1494000083,971812,31
1494000085,909979,32
1494000088,358482,34
1494000088,827827,33
1494000089,157506,34
1494000089,352186,33
1494000089,790695,32
1494000090,306766,32
1494000093,356012,35
1494000094,914640,35
1494000095,31086,35
1494000095,238184,34
1494000099,752731,38
1494000100,145912,38
1494000100,551880,37
1494000101,276885,37
1494000102,350890,38
1494000103,611071,38
1494000103,944433,37
1494000106,1129934,39
1494000107,121369,40
1494000107,121369,39
1494000109,550610,40
1494000109,687927,39
1494000110,833947,40
1494000114,257417,43
1494000114,647672,42
1494000116,466131,43
1494000118,882115,45
1494000119,437009,45
1494000119,666173,44
1494000121,944846,45
1494000124,744494,48
1494000125,163445,48
1494000125,453915,47
1494000126,244102,47
1494000127,169951,48
1494000127,169951,47
1494000129,493887,48
1494000129,1007136,47
1494000129,1007136,47
1494000130,865148,47
1494000130,865148,46
1494000130,868739,45
1494000131,560278,46
1494000135,220768,49
1494000136,300285,49
1494000136,1141044,48
1494000138,935192,50
1494000138,981067,49
1494000139,997233,49
1494000139,1015303,48
1494000140,686654,49
1494000141,352186,49
1494000142,167126,49
1494000142,395206,48
1494000142,917538,48
1494000143,628120,48
1494000144,1094457,48
1494000145,636206,48
1494000145,636206,48
1494000147,838987,49
1494000148,110880,49
1494000148,346040,48
1494000148,845540,47
1494000149,540581,48
1494000149,594910,47
1494000150,1129838,47
1494000154,1002356,50
1494000154,1094615,50
1494000155,57579,50
1494000155,57579,49
1494000157,699045,50
1494000157,728742,50
1494000158,545836,50
1494000160,811477,51
1494000161,561979,51
1494000162,1037155,52
1494000163,1021574,52
1494000164,955226,52
1494000165,1098151,52
1494000166,257417,53
1494000166,476117,52
1494000167,116912,52
1494000168,358482,52
1494000168,358482,52
1494000168,542249,51
1494000168,945340,50
1494000168,945340,49
1494000169,885538,50
1494000171,848905,51
1494000171,852029,50
1494000172,379521,50
1494000173,409104,51
1494000173,577273,50
1494000173,799593,49
1494000173,840552,48
1494000173,840552,48
1494000174,358365,48
1494000174,724078,47
1494000175,346281,47
1494000179,194707,51
1494000179,451154,50
1494000179,524206,49
1494000182,580210,51
1494000183,350364,52
1494000183,509597,51
1494000183,606668,50
1494000183,1120799,49
1494000184,466091,50
1494000187,940360,52
1494000188,330868,52
1494000188,636887,51
1494000188,636887,51
1494000190,1066115,52
1494000191,840390,52
1494000192,998318,52
1494000193,165997,53
1494000195,734978,54
1494000195,752857,53
1494000196,1021574,53
1494000196,1021574,53
1494000196,1021574,52
1494000197,1102907,52
1494000199,193919,53
1494000199,474385,53
1494000199,1116818,52
1494000200,183764,52
1494000200,183764,51
1494000200,882115,51
1494000201,23087,51
1494000202,485944,51
1494000203,113098,51
1494000204,271408,51
1494000204,301597,51
1494000204,1016188,50
1494000205,788465,50
1494000207,437009,51
1494000209,81238,53
1494000215,955537,58
1494000219,257417,61
1494000219,257417,60
1494000219,504584,60
1494000219,706726,59
1494000219,945340,58
1494000220,854149,58
1494000222,116912,60
1494000222,261415,59
1494000222,723140,58
1494000223,629846,58
1494000224,1012109,59
1494000228,241232,62
1494000229,320341,62
1494000229,465105,61
1494000230,544779,62
1494000230,577577,61
1494000231,114576,61
1494000232,69250,61
1494000232,595048,61
1494000233,86901,61
1494000233,179316,60
1494000234,1015303,60
1494000236,953684,62
1494000237,22444,62
1494000237,314526,61
1494000237,628120,60
1494000237,628120,60
1494000238,278977,60
1494000240,1131481,61
1494000241,1100796,61
1494000242,881369,62
1494000242,881369,61
1494000242,893207,60
1494000243,657254,60
1494000244,533524,61
1494000244,792899,60
1494000245,621077,60
1494000245,728742,59
1494000246,329775,60
1494000247,267182,60
1494000247,606668,59
1494000247,792253,58
1494000247,792253,58
1494000247,974054,57
1494000249,634694,58
1494000249,731222,57
1494000250,56241,58
1494000250,116956,57
1494000253,738950,59
1494000256,499174,61
1494000257,7284,62
1494000257,254914,61
1494000257,922721,60
1494000259,145912,61
1494000259,568444,61
1494000260,627482,61
1494000262,99848,62
1494000262,310550,61
1494000262,310550,60
1494000266,283808,64
1494000266,283808,63
1494000267,525754,63
1494000268,105894,63
1494000268,822833,63
1494000271,814898,65
1494000271,958028,64
1494000272,39526,64
1494000272,39526,64
1494000272,461501,63
1494000272,615592,62
1494000274,318635,63
1494000274,416172,63
1494000276,423196,64
1494000277,882115,64
1494000277,882115,63
1494000278,1063235,64
1494000280,933097,65
1494000282,508876,66
1494000283,196275,66
1494000285,335014,68
1494000289,90373,71
1494000290,687095,71
1494000291,893841,71
1494000292,295857,72
1494000292,625197,71
1494000293,254914,71
1494000293,254914,70
1494000293,922284,70
1494000294,387315,70
1494000295,668323,70
1494000296,378732,70
1494000296,378732,70
1494000298,745647,71
1494000299,45047,71
1494000299,798455,70
1494000301,647636,72
1494000302,58319,72
1494000302,904528,71
1494000303,152979,71
1494000303,169164,71
1494000303,748927,70
1494000304,252271,70
1494000304,621077,69
1494000305,283808,70
1494000305,762134,69
1494000307,127672,70
1494000307,330172,69
1494000307,516869,69
1494000307,568365,68
1494000309,727790,69
1494000309,961756,68
1494000310,400172,69
1494000310,568441,68
1494000311,79108,68
1494000311,79108,67
1494000311,594102,67
1494000312,498525,67
1494000312,994378,66
1494000313,101229,66
1494000313,380141,66
1494000313,556050,65
1494000314,1139495,65
1494000315,830645,65
1494000316,260432,65
1494000317,1032128,66
1494000317,1032128,65
1494000317,1032128,64
1494000319,139793,65
1494000319,437385,65
1494000321,125741,66
1494000321,125741,65
1494000323,608971,66
1494000323,608971,66
1494000324,523711,66
1494000325,739964,66
1494000326,226938,66
1494000326,359816,66
1494000328,549241,67
1494000331,58812,69
1494000331,283808,68
1494000331,283808,68
1494000332,453915,68
1494000333,1055452,68
1494000334,922721,68
1494000334,942696,68
1494000335,145912,68
1494000335,860766,67
1494000335,860766,66
1494000335,860766,66
1494000335,989476,65
1494000335,1113172,64
1494000337,25897,65
1494000337,1121836,65
1494000338,1065072,65
1494000340,753233,66
1494000341,73289,66
1494000342,583739,67
1494000342,733181,66
1494000342,1092147,65
1494000343,614649,65
1494000344,885495,66
1494000345,413708,66
1494000345,413708,65
1494000345,1086976,64
1494000347,884403,66
1494000347,884403,65
1494000347,1065154,64
1494000349,144383,65
1494000350,117321,66
1494000350,117321,65
1494000350,387315,64
1494000351,549241,64
1494000353,273474,66
1494000354,211024,66
1494000354,617762,65
1494000354,917149,64
1494000355,193355,65
1494000355,225336,64
1494000355,963552,63
1494000357,495988,64
1494000363,851805,70
1494000364,1091533,70
1494000364,1098001,69
1494000365,354269,69
1494000366,601164,70
1494000366,717070,69
1494000366,717070,68
1494000367,264239,68
1494000368,263634,68
1494000368,457404,68
1494000368,803393,67
1494000369,897888,67
1494000370,254914,67
1494000371,26873,68
1494000371,706372,67
1494000374,151176,69
1494000374,151176,68
1494000375,55604,69
1494000376,820817,69
1494000378,455831,70
1494000378,525754,69
1494000378,525754,69
1494000379,973463,69
1494000381,556050,70
1494000381,993780,69
1494000382,332370,70
1494000382,1026199,69
1494000383,73288,69
1494000385,274228,70
1494000385,1034869,70
1494000385,1080120,69
1494000387,393806,70
1494000387,1013395,69
1494000388,651202,70
1494000390,830775,71
1494000390,830775,70
1494000391,23213,70
1494000391,23213,70
1494000391,23213,69
1494000391,387023,68
1494000391,413708,67
1494000391,648020,67
1494000392,4455,67
1494000392,561436,66
1494000392,931619,65
1494000395,948239,68
1494000395,1121142,67
1494000396,176947,67
1494000397,225630,67
1494000397,789361,67
1494000399,313969,68
1494000400,95604,68
1494000403,276105,70
1494000403,311661,70
1494000404,1108223,70
1494000406,579880,71
1494000406,579880,70
1494000406,579880,70
1494000407,1045466,70
1494000410,1092147,72
1494000412,860766,73
1494000412,860766,73
1494000416,628120,76
1494000416,628120,75
1494000416,930151,74
1494000418,787134,76
1494000418,843531,75
1494000419,125591,75
1494000419,816840,74
1494000421,413708,76
1494000421,413708,75
1494000421,426661,74
1494000421,426661,73
1494000423,201611,74
1494000424,657640,75
1494000425,230845,75
1494000425,230845,74
1494000426,392211,74
1494000426,805055,74
1494000428,552369,75
1494000430,738526,76
1494000432,437786,77
1494000432,671259,77
1494000433,113917,77
1494000433,758233,76
1494000433,942696,75
1494000434,797471,76
1494000436,1009582,77
1494000437,281547,77
1494000440,166006,79
1494000440,343848,79
1494000440,554859,78
1494000442,69516,79
1494000442,69516,78
1494000443,355863,79
1494000444,423196,79
1494000444,423196,78
1494000444,756322,77
1494000444,908028,77
1494000445,335014,77
1494000447,662628,78
1494000447,712556,77
1494000448,1010844,78
1494000449,133510,78
1494000449,133510,77
1494000450,702077,77
1494000450,702077,77
1494000450,950958,76
1494000451,410671,76
1494000451,1067291,75
1494000452,530254,76
1494000453,737145,76
1494000453,1092147,75
1494000454,465421,75
1494000454,781074,75
1494000455,618162,75
1494000456,782034,75
1494000457,966367,75
1494000457,966367,75
1494000458,413708,75
1494000458,926767,74
1494000459,26873,74
1494000459,667704,74
1494000459,1076799,73
1494000460,492885,73
1494000461,595990,73
1494000462,111805,74
1494000462,491330,73
1494000464,510005,74
1494000464,838073,73
1494000465,145912,74
1494000466,199865,74
1494000468,364518,75
1494000468,644945,74
1494000469,531458,75
1494000469,862369,74
1494000469,862369,73
1494000469,862369,72
1494000472,202793,75
1494000472,456089,74
1494000472,456089,73
1494000472,993900,72
1494000473,340373,72
1494000476,588,75
1494000477,881369,75
1494000478,860656,75
1494000480,104843,76
1494000480,525754,76
1494000480,525754,75
1494000481,325139,75
1494000481,577577,74
1494000481,638420,74
1494000481,973759,73
1494000486,461501,77
1494000486,629846,76
1494000486,975494,76
1494000488,964034,77
1494000491,457166,79
1494000496,577207,83
1494000499,931921,86
1494000501,558833,87
1494000501,558833,86
1494000501,1006610,85
1494000501,1068863,85
1494000503,636206,86
1494000504,469105,86
1494000504,486914,85
1494000504,543003,85
1494000504,543003,84
1494000504,811728,83
1494000506,318125,84
1494000506,390864,84
1494000507,259135,84
1494000507,343336,83
1494000508,357182,83
1494000508,357182,83
1494000508,409908,82
1494000508,704259,81
1494000510,224396,82
1494000510,865958,82
1494000511,207738,82
1494000511,235045,81
1494000511,367572,80
1494000515,654678,84
1494000516,451668,84
1494000517,230954,84
1494000517,230954,83
1494000517,514836,83
1494000518,1040443,83
1494000519,62500,83
1494000521,18863,84
1494000521,19093,84
1494000523,801740,85
1494000524,335695,85
1494000525,482258,85
1494000525,1115841,85
1494000526,724237,85
1494000528,1015370,86
1494000529,1089823,86
1494000530,206568,87
1494000530,515307,86
1494000531,259924,86
1494000531,777550,85
1494000533,655370,87
1494000533,696185,86
1494000533,788049,85
1494000533,870948,84
1494000534,963631,84
1494000537,230100,87
1494000537,550573,86
1494000537,643373,85
1494000537,699703,84
1494000538,209693,85
1494000538,362035,84
1494000541,414959,86
1494000541,800556,85
1494000542,614467,86
1494000543,814315,86
1494000544,1017511,86
1494000546,1001088,87
1494000546,1061004,87
1494000548,1036219,88
1494000550,115982,89
1494000550,212553,88
1494000550,829396,88
1494000551,208737,88
1494000551,613365,87
1494000552,1085857,87
1494000552,1085857,87
1494000553,258683,87
1494000553,739628,86
1494000555,121369,87
1494000555,121369,87
1494000555,839084,86
1494000555,1007248,85
1494000555,1101566,84
1494000556,230954,85
1494000556,992304,84
1494000557,274879,84
1494000558,781758,84
1494000560,718826,86
1494000560,888397,85
1494000560,1091137,84
1494000561,91703,84
1494000561,809161,84
1494000562,330044,84
1494000562,675863,83
1494000563,246232,83
1494000565,83198,85
1494000565,112444,84
1494000565,112444,83
1494000566,731222,83
1494000568,412902,85
1494000569,1119746,85
1494000572,751390,87
1494000572,1044929,86
1494000573,556880,87
1494000574,793623,87
1494000575,279607,87
1494000575,279607,86
1494000576,114659,87
1494000577,533240,87
1494000577,608971,86
1494000578,730617,86
1494000578,1097097,86
1494000580,854598,87
1494000582,627835,88
1494000582,627835,87
1494000583,110017,88
1494000584,101872,88
1494000584,756439,87
1494000584,1018199,86
1494000585,23213,86
1494000585,362751,86
1494000586,7235,86
1494000586,327841,85
1494000586,346986,84
1494000590,549860,88
1494000590,1028459,87
1494000592,229032,88
1494000593,1075865,88
1494000594,311857,89
1494000594,938517,88
1494000596,102683,89
1494000596,218557,88
1494000596,836256,88
1494000598,408311,89
1494000600,120244,90
1494000601,444512,90
1494000601,1008269,90
1494000601,1117387,89
1494000605,72629,92
1494000605,72629,91
1494000606,966636,92
1494000607,508834,92
1494000608,125046,92
1494000608,125046,91
1494000608,125046,91
1494000608,739651,90
1494000610,727790,91
1494000611,187591,91
1494000611,390200,91
1494000611,783455,90
1494000611,886814,89
1494000614,448380,91
1494000615,943352,92
1494000617,993900,93
1494000618,837358,93
1494000618,945231,92
1494000619,479297,93
1494000619,914961,92
1494000619,1026199,91
1494000620,879277,91
1494000620,879277,91
1494000620,879277,90
1494000622,558833,91
1494000623,591687,91
1494000624,230954,92
1494000624,819961,91
1494000626,246232,92
1494000627,131487,92
1494000627,635979,92
1494000629,595990,93
1494000629,710429,92
1494000629,892127,91
1494000630,461843,92
1494000631,167084,92
1494000633,638059,93
1494000634,752743,93
1494000636,556880,95
1494000637,741353,95
1494000639,66624,96
1494000639,868842,95
1494000639,965217,95
1494000640,55604,95
1494000640,55604,94
1494000640,265970,93
1494000641,133510,93
1494000641,133510,93
1494000641,662945,92
1494000642,451943,92
1494000642,510387,91
1494000642,723459,91
1494000642,875326,90
1494000643,258407,90
1494000643,596699,89
1494000644,368922,90
1494000644,649680,89
1494000645,139303,89
1494000648,616584,91
1494000648,616584,91
1494000650,101229,92
1494000650,101229,91
1494000650,101229,90
1494000650,308960,90
1494000655,556880,94
1494000657,247851,95
1494000659,394244,96
1494000659,983678,96
1494000660,449782,96
1494000660,667073,95
1494000660,729215,94
1494000662,1055819,96
1494000662,1079594,95
1494000663,465204,95
1494000663,1109423,94
1494000663,1109423,94
1494000664,912351,94
1494000665,514934,94
1494000667,2811,95
1494000668,153244,96
1494000668,560368,95
1494000668,971176,94
1494000669,556880,94
1494000669,556880,94
1494000670,837113,94
1494000671,908359,94
1494000672,571651,94
1494000673,132483,95
1494000673,708228,94
1494000674,181537,94
1494000675,877837,94
1494000677,110188,96
1494000677,725116,95
1494000677,725116,94
1494000677,966077,93
1494000678,133510,94
1494000678,133510,93
1494000678,469152,92
1494000678,469152,91
1494000678,1025285,91
1494000679,244695,91
1494000680,117780,91
1494000680,479297,90
1494000682,79469,92
1494000682,79469,91
1494000686,269671,94
1494000686,874257,93
1494000687,300788,94
1494000687,300788,93
1494000688,121369,93
1494000690,311857,94
1494000690,311857,93
1494000690,655876,93
1494000690,774709,92
1494000693,971596,94
1494000697,112444,97
1494000697,112444,97
1494000697,414701,96
1494000701,99997,99
1494000701,451943,98
1494000701,451943,98
1494000701,790330,97
1494000701,1026863,96
1494000702,466072,96
1494000702,466072,96
1494000703,632369,96
1494000703,632820,95
1494000708,662945,99
1494000709,362638,100
1494000709,763065,99
1494000710,31700,99
1494000710,69604,98
1494000710,139303,98
1494000711,208334,98
1494000711,735957,97
1494000714,1101379,99
1494000715,765370,100
1494000715,1073230,99
1494000716,587456,99
1494000716,731952,98
1494000716,843531,98
1494000717,1001132,98
1494000718,825065,98
1494000718,966367,97
1494000718,966367,97
1494000719,80514,97
1494000719,80514,96
1494000720,246232,96
1494000721,990539,97
1494000722,9084,97
1494000723,376693,97
1494000723,938517,96
1494000725,657154,98
1494000725,864857,97
1494000727,1134651,98
1494000727,1134651,97
1494000728,680568,98
1494000730,20266,99
1494000730,20266,98
1494000730,982801,97
1494000731,84652,98
1494000731,671597,97
1494000731,841808,96
1494000732,133510,96
1494000733,427941,97
1494000734,981897,97
1494000735,466072,97
1494000735,466072,96
1494000735,479297,96
1494000735,479297,95
1494000735,879277,94
1494000737,145997,95
1494000737,363129,95
1494000738,238425,95
1494000740,746478,96
1494000741,101229,96
1494000743,501942,98
1494000743,650036,97
1494000745,478326,98
1494000745,859637,97
1494000746,788070,97
1494000747,2811,98
1494000748,819961,98
1494000750,410127,99
1494000751,32548,99
1494000751,258082,99
1494000751,329505,98
1494000752,981610,98
1494000755,284176,100
1494000755,470946,100
1494000756,1130883,100
1494000758,332132,101
1494000758,884675,100
1494000758,884675,100
1494000760,213322,101
1494000760,390512,100
1494000762,875349,101
1494000763,492683,102
1494000766,261660,104
1494000769,860766,106
1494000770,985978,106
1494000772,479297,108
1494000772,1117956,107
1494000773,497052,107
1494000774,902467,107
1494000775,529302,108
1494000776,662945,108
1494000778,139303,109
1494000778,719817,108
1494000779,716834,109
1494000779,798511,108
1494000779,825838,107
1494000779,825838,106
1494000780,715059,107
1494000780,715059,106
1494000780,1078795,105
1494000781,164481,105
1494000781,438873,105
1494000781,438873,104
1494000781,438873,103
1494000781,470065,102
1494000782,693306,103
1494000783,705109,103
1494000784,874489,103
1494000785,141473,103
1494000785,141473,103
1494000785,645806,102
1494000786,801086,102
1494000787,196401,102
1494000787,736061,102
1494000788,434338,102
1494000789,1018199,102
1494000790,538864,102
1494000791,198698,103
1494000791,775533,102
1494000792,1052066,102
1494000794,747435,103
1494000794,747435,103
1494000794,747435,102
1494000794,753292,101
1494000795,466072,101
1494000795,842115,101
1494000795,842115,100
1494000796,1130923,100
1494000797,142250,100
1494000797,1082545,99
1494000800,3953,102
1494000800,9891,101
1494000800,55604,100
1494000800,55604,99
1494000800,55604,99
1494000800,879875,98
1494000800,879875,97
1494000801,853344,97
1494000801,1059206,97
1494000802,435619,97
1494000802,659493,96
1494000803,1071200,96
1494000804,1132740,97
1494000807,616959,99
1494000809,867879,100
1494000810,517400,100
1494000811,228080,101
1494000814,568365,103
1494000814,568365,102
1494000816,61048,103
1494000816,61048,103
1494000816,75516,102
1494000816,749161,101
1494000817,448099,101
1494000818,277639,102
1494000819,190532,102
1494000819,496143,101
1494000820,243669,101
1494000821,419440,102
1494000821,1132935,101
1494000823,447055,102
1494000825,914410,103
1494000826,1064631,104
1494000827,448380,104
1494000828,313940,104
1494000828,332132,103
1494000829,1067291,104
1494000830,1094651,104
1494000831,14716,104
1494000832,555094,104
1494000833,314999,105
1494000836,666752,107
1494000836,883741,106
1494000838,715059,107
1494000838,1069525,107
1494000839,227958,107
1494000840,1048658,107
1494000841,778506,107
1494000841,824462,107
1494000841,1088026,106
1494000842,208635,106
1494000843,141473,106
1494000843,327945,106
1494000843,799762,105
1494000843,1066375,104
1494000844,26091,104
1494000845,47648,105
1494000846,1062131,105
1494000850,703647,108
1494000852,387023,109
1494000852,416328,109
1494000853,333141,109
1494000853,501609,108
1494000853,645352,107
1494000854,210454,107
1494000854,494196,107
1494000855,501662,107
1494000855,501662,106
1494000856,320015,106
1494000857,808708,107
1494000857,808708,106
1494000858,776833,106
1494000858,799928,105
1494000858,816397,105
1494000859,834138,105
1494000861,734370,106
1494000862,951375,106
1494000866,247144,110
1494000866,432920,109
1494000866,523144,108
1494000867,939211,108
1494000868,795075,109
1494000870,101229,110
1494000870,998370,109
1494000871,1067291,109
1494000871,1067291,109
1494000871,1095091,108
1494000874,21485,110
1494000874,384733,109
1494000874,906859,109
1494000875,180208,109
1494000875,1014386,108
1494000876,325024,108
1494000876,325024,108
1494000877,257170,108
1494000877,1108223,107
1494000877,1108223,106
1494000880,841663,109
1494000882,11473,110
1494000882,156907,109
1494000882,170292,108
1494000882,170292,108
1494000882,170292,107
1494000882,668183,106
1494000884,174930,107
1494000884,400497,107
1494000886,276789,108
1494000886,276789,107
1494000888,19169,108
1494000888,447055,108
1494000888,513038,107
1494000890,184501,108
1494000890,1042401,107
1494000891,213322,108
1494000891,669595,107
1494000891,1055819,106
1494000891,1055819,105
1494000892,444664,106
1494000893,417966,106
1494000893,605144,105
1494000893,605144,104
1494000894,667117,105
1494000895,274749,105
1494000895,834863,104
1494000895,928900,103
1494000896,587805,104
1494000897,996805,104
1494000897,996805,103
1494000898,868804,103
1494000898,1116773,102
1494000899,729140,103
1494000901,302949,104
1494000901,960570,103
1494000902,799412,103
1494000903,66318,104
1494000903,158697,103
1494000903,795099,102
1494000903,795099,101
1494000905,123952,103
1494000907,720260,104
1494000909,198733,105
1494000909,809235,104
1494000910,665265,105
1494000910,673303,104
1494000911,828483,104
1494000912,307959,104
1494000915,395678,107
1494000915,899356,106
1494000915,1102339,105
1494000916,494196,105
1494000916,1135819,105
1494000917,827207,105
1494000919,92052,106
1494000919,464483,105
1494000919,464483,105
1494000919,1093789,104
1494000920,148074,104
1494000920,148074,103
1494000920,148074,103
1494000920,853344,102
1494000922,695516,103
1494000926,486509,106
1494000927,394244,107
1494000927,1018199,106
1494000928,875088,106
1494000929,602497,106
1494000929,1138432,106
1494000931,777509,107
1494000932,711954,107
1494000932,873731,106
1494000933,354432,107
1494000934,896498,107
1494000936,129490,108
1494000936,197406,107
1494000936,536791,107
1494000937,241161,107
1494000937,263652,106
1494000937,604433,105
1494000937,782514,105
1494000939,957774,106
1494000939,957774,105
1494000940,127971,105
1494000940,661087,105
1494000940,1088026,104
1494000941,169044,104
1494000943,663350,105
1494000946,376037,108
1494000947,599427,108
1494000947,984799,107
1494000948,406342,107
1494000949,1013124,108
1494000952,972936,110
1494000952,972936,109
1494000953,1127603,109
1494000954,829396,109
1494000954,829396,109
1494000954,829396,108
1494000955,91185,108
1494000955,543003,107
1494000956,70940,108
1494000958,494196,109
1494000958,908190,108
1494000959,572704,108
1494000960,123952,109
1494000961,128573,109
1494000961,457916,108
1494000961,625683,107
1494000962,834138,108
1494000962,834138,107
1494000963,228729,107
1494000963,340265,106
1494000963,807163,106
1494000964,270670,106
1494000964,270670,105
1494000964,270670,104
1494000964,279149,104
1494000964,513038,103
1494000966,796291,104
1494000967,466831,104
1494000968,171228,105
1494000969,400681,105
1494000969,1085389,104
1494000970,905182,104
1494000970,1027462,104
1494000970,1027462,103
1494000972,210454,104
1494000973,1015717,104
1494000974,64854,105
1494000975,1055505,105
1494000976,398753,105
1494000977,718194,105
1494000979,1051115,107
1494000980,123952,107
1494000980,754137,106
1494000980,1077663,105
1494000981,614007,106
1494000982,737437,106
1494000982,1081134,105
1494000983,1102339,105
1494000985,177636,107
1494000985,783729,106
1494000986,197406,106
1494000986,908190,105
1494000987,99542,106
1494000987,267010,105
1494000987,775824,104
1494000988,914467,104
1494000988,997987,104
1494000989,432920,104
1494000990,818757,104
1494000991,859674,104
1494000991,859674,104
1494000991,1071200,103
1494000992,679343,103
1494000992,679343,102
1494000992,683625,102
1494000994,181537,103
1494000994,678535,102
1494000997,483108,104
1494000999,441347,106
1494000999,978671,105
1494001000,394244,105
1494001000,394244,104
1494001001,85698,104
1494001001,1009582,104
1494001002,664633,104
1494001004,661381,105
1494001004,661381,104
1494001005,506094,105
1494001006,868298,105
1494001007,452574,105
1494001007,943992,104
1494001008,69604,105
1494001009,371241,105
1494001009,859803,104
1494001011,647360,105
1494001011,815650,105
1494001011,815650,104
1494001011,1052836,103
1494001012,951375,103
1494001013,698532,104
1494001016,956615,106
1494001017,837759,106
1494001017,837759,105
1494001018,692910,106
1494001020,955666,107
1494001020,955666,106
1494001021,153869,106
1494001022,513205,107
1494001023,449030,107
1494001025,1010548,108
1494001028,938517,110
1494001028,938517,110
1494001029,733644,110
1494001030,172111,110
1494001034,314757,113
1494001034,1134087,113
1494001036,10025,114
1494001036,1127603,113
1494001037,61048,113
1494001037,221063,113
1494001037,261955,112
1494001038,229032,112
1494001038,457916,111
1494001039,483876,112
1494001039,664116,111
1494001042,670288,113
1494001042,936333,112
1494001044,471212,114
1494001045,417451,114
1494001045,417451,113
1494001045,494196,112
1494001045,494196,112
1494001045,684513,111
1494001046,598311,111
1494001046,854134,110
1494001047,305549,111
1494001050,545063,113
1494001050,545063,112
1494001050,809161,111
1494001050,809161,111
1494001050,809161,110
1494001052,390470,111
1494001054,736061,112
1494001056,921210,114
1494001056,921210,113
1494001056,921210,112
1494001056,973759,111
1494001057,131487,111
1494001057,522474,111
1494001057,904003,110
1494001058,832369,110
1494001060,1110499,111
1494001060,1110499,111
1494001061,490167,111
1494001062,1114594,111
1494001063,275517,111
1494001065,591266,113
1494001067,430239,114
1494001068,36740,114
1494001071,536847,116
1494001072,281350,117
1494001073,467179,117
1494001073,703633,116
1494001075,702096,117
1494001077,223992,119
1494001077,513205,118
1494001077,725124,117
1494001078,603608,117
1494001078,844642,117
1494001079,740795,117
1494001079,741353,116
1494001079,859637,115
1494001080,747726,116
1494001081,390295,116
1494001081,655876,115
1494001081,816397,114
1494001081,940325,114
1494001085,1050759,117
1494001087,670288,118
1494001087,1107988,117
1494001088,376293,118
1494001088,1011218,117
1494001090,857629,118
1494001091,180710,118
1494001091,908190,118
1494001092,113052,118
1494001092,840617,117
1494001093,1075467,117
1494001094,158005,118
1494001094,572704,117
1494001095,502211,117
1494001095,1134368,116
1494001096,342216,117
1494001098,739637,118
1494001101,1003543,120
1494001103,229518,121
1494001103,425422,121
1494001104,880764,121
1494001105,440345,121
1494001106,171133,121
1494001106,171133,121
1494001106,1101628,120
1494001108,851228,121
1494001109,432920,121
1494001109,1110845,121
1494001111,496385,122
1494001112,215041,122
1494001113,20123,122
1494001115,216954,124
1494001116,776671,124
1494001116,913318,123
1494001117,200848,123
1494001117,297699,122
1494001117,297699,122
1494001118,686162,122
1494001119,711974,122
1494001119,922510,121
