time,value,predict
1539273716,46,1539273716
1539273776,59,-120
1539273836,64,-240
1539273896,49,-361
1539273956,61,-481
1539274016,46,-601
1539274076,64,-721
1539274136,53,-841
1539274196,49,-961
1539274256,55,-1082
1539274316,42,-1202
1539274376,42,-1322
1539274436,59,-1442
1539274496,64,-1562
1539274556,61,-1683
1539274616,62,-1803
1539274676,55,-1923
1539274736,51,-2043
1539274796,57,-2163
1539274856,53,-2284
1539274916,49,-2404
1539274976,51,-2524
1539275036,27,-2644
1539275096,20,-2764
1539275156,31,-2884
1539275216,37,-3005
1539275276,49,-3125
1539275336,51,-3245
1539275396,49,-3365
1539275456,35,-3485
1539275516,0,-3606
1539275576,29,-3726
1539275636,11,-3846
1539275696,24,-3966
1539275756,24,-4086
1539275816,35,-4207
1539275876,35,-4327
1539275936,0,-4447
1539275996,37,-4567
1539276056,37,-4687
1539276116,12,-4807
1539276176,14,-4928
1539276236,22,-5048
1539276296,11,-5168
1539276356,29,-5288
1539276416,35,-5408
1539276476,31,-5529
1539276536,33,-5649
1539276596,40,-5769
1539276656,40,-5889
1539276716,61,-6009
1539276776,53,-6130
1539276836,53,-6250
1539276896,61,-6370
1539276956,55,-6490
1539277016,77,-6610
1539277076,59,-6730
1539277136,55,-6851
1539277196,46,-6971
1539277256,68,-7091
1539277316,74,-7211
1539277376,48,-7331
1539277436,61,-7452
1539277496,38,-7572
1539277556,46,-7692
1539277616,61,-7812
1539277676,66,-7932
1539277736,49,-8052
1539277796,49,-8173
1539277856,35,-8293
1539277916,49,-8413
1539277976,59,-8533
1539278036,59,-8653
1539278096,44,-8774
1539278156,55,-8894
1539278216,38,-9014
1539278276,42,-9134
1539278336,18,-9254
1539278396,57,-9375
1539278456,38,-9495
1539278516,46,-9615
1539278576,53,-9735
1539278636,35,-9855
1539278696,0,-9975
1539278756,27,-10096
1539278816,37,-10216
1539278876,0,-10336
1539278936,0,-10456
1539278996,0,-10576
1539279056,35,-10697
1539279116,14,-10817
1539279176,9,-10937
1539279236,29,-11057
1539279296,0,-11177
1539279356,0,-11298
1539279416,0,-11418
1539279476,0,-11538
1539279536,0,-11658
1539279583,0,-11791
1539279596,0,-11958
1539279656,0,-12079
1539280496,0,-11419
1539280556,0,-11539
1539280616,0,-11659
1539280676,0,-11779
1539280736,0,-11900
1539280796,0,-12020
1539280856,0,-12140
1539280903,0,-12273
1539280916,0,-12440
1539280976,0,-12561
1539281036,0,-12681
1539281096,0,-12801
1539281156,0,-12921
1539281186,0,-13071
1539281193,0,-13244
1539281920,0,-12698
1539286060,0,-8738
1539286120,0,-8858
1539286180,0,-8978
1539286240,0,-9098
1539286300,0,-9219
1539286360,0,-9339
1539286420,0,-9459
1539286480,0,-9579
1539286540,0,-9699
1539286600,0,-9819
1539286660,0,-9940
1539286720,0,-10060
1539286780,0,-10180
1539286839,0,-10301
1539286900,0,-10420
1539286959,0,-10542
1539286977,0,-10704
1539295482,0,-2379
1539295542,0,-2499
1539295602,0,-2619
1539295662,0,-2740
1539295722,0,-2860
1539295782,0,-2980
1539295842,0,-3100
1539295902,0,-3220
1539295962,0,-3340
1539296022,0,-3461
1539296082,0,-3581
1539296142,0,-3701
1539296202,0,-3821
1539296262,0,-3941
1539296322,0,-4062
1539296382,0,-4182
1539296442,0,-4302
1539296502,0,-4422
1539296562,0,-4542
1539296622,0,-4663
1539296682,0,-4783
1539296742,0,-4903
1539296802,0,-5023
1539296862,0,-5143
1539296922,0,-5263
1539296955,0,-5411
1539296982,0,-5564
1539297042,1,-5684
1539297095,0,-5811
1539299975,0,-3111
1539299976,0,-3291
1539299977,0,-3470
1539299982,0,-3645
1539300042,3,-3765
1539300102,0,-3885
1539300162,1,-4006
1539300169,1,-4179
1539300170,0,-4358
1539300192,0,-4516
1539300222,0,-4666
1539303227,3,-1841
1539303286,0,-1963
1539303346,0,-2083
1539303406,0,-2203
1539303466,0,-2323
1539303526,0,-2443
1539303586,0,-2564
1539303646,0,-2684
1539303706,0,-2804
1539303766,0,-2924
1539303826,0,-3044
1539303886,0,-3164
1539303946,0,-3285
1539304006,0,-3405
1539304066,0,-3525
1539304126,0,-3645
1539304186,0,-3765
1539304246,0,-3886
1539304306,0,-4006
1539304366,0,-4126
1539304426,0,-4246
1539304486,0,-4366
1539304546,0,-4487
1539304606,0,-4607
1539304666,0,-4727
1539304726,0,-4847
1539304786,0,-4967
1539304846,0,-5087
1539304906,0,-5208
1539304966,0,-5328
1539305026,0,-5448
1539305086,0,-5568
1539305146,0,-5688
1539305206,0,-5809
1539305266,0,-5929
1539305326,0,-6049
1539305386,0,-6169
1539305446,0,-6289
1539305506,0,-6410
1539305560,0,-6536
1539305562,0,-6714
1539305566,0,-6890
1539305610,0,-7026
1539305626,0,-7190
1539306615,0,-6382
1539306646,0,-6531
1539306706,9,-6651
1539306766,0,-6771
1539306826,0,-6891
1539306886,7,-7012
1539306946,24,-7132
1539307006,29,-7252
1539307066,22,-7372
1539307126,7,-7492
1539307186,9,-7613
1539307246,31,-7733
1539307306,18,-7853
1539307366,53,-7973
1539307426,0,-8093
1539307486,3,-8213
1539307546,44,-8334
1539307606,40,-8454
1539307666,44,-8574
1539307726,53,-8694
1539307786,53,-8814
1539307846,31,-8935
1539307906,42,-9055
1539307966,31,-9175
1539308026,38,-9295
1539308086,40,-9415
1539308146,22,-9535
1539308206,48,-9656
1539308266,0,-9776
1539308326,0,-9896
1539308386,14,-10016
1539308446,57,-10136
1539308506,49,-10257
1539308566,59,-10377
1539308626,46,-10497
1539308686,53,-10617
1539308746,53,-10737
1539308806,49,-10858
1539308866,49,-10978
1539308926,64,-11098
1539308986,66,-11218
1539309046,62,-11338
1539309106,53,-11458
1539309166,48,-11579
1539309226,48,-11699
1539309286,51,-11819
1539309346,55,-11939
1539309406,61,-12059
1539309466,66,-12180
1539309526,72,-12300
1539309586,70,-12420
1539309646,61,-12540
1539309706,49,-12660
1539309766,5,-12781
1539309826,42,-12901
1539309886,53,-13021
1539309946,59,-13141
1539310006,18,-13261
1539310066,35,-13381
1539310126,35,-13502
1539310186,33,-13622
1539310246,22,-13742
1539310306,29,-13862
1539310366,46,-13982
1539310426,48,-14103
1539310486,25,-14223
1539310546,55,-14343
1539310606,46,-14463
1539310666,51,-14583
1539310726,0,-14704
1539310786,37,-14824
1539310846,53,-14944
1539310906,46,-15064
1539310966,55,-15184
1539311026,48,-15304
1539311086,53,-15425
1539311146,55,-15545
1539311206,29,-15665
1539311266,29,-15785
1539311326,53,-15905
1539311386,49,-16026
1539311446,57,-16146
1539311506,61,-16266
1539311566,74,-16386
1539311626,70,-16506
1539311686,64,-16626
1539311746,0,-16747
1539311806,27,-16867
1539311866,31,-16987
1539311926,74,-17107
1539311986,70,-17227
1539312046,66,-17348
1539312106,64,-17468
1539312166,35,-17588
1539312226,31,-17708
1539312286,22,-17828
1539312346,16,-17949
1539312406,24,-18069
1539312466,0,-18189
1539312526,0,-18309
1539312532,0,-18483
1539312586,0,-18609
1539312646,0,-18730
1539312706,0,-18850
1539312766,0,-18970
1539312826,0,-19090
1539312886,0,-19210
1539312946,0,-19331
1539313006,0,-19451
1539313066,0,-19571
1539313126,0,-19691
1539313186,0,-19811
1539313246,0,-19932
1539313306,0,-20052
1539313366,0,-20172
1539313426,0,-20292
1539313486,0,-20412
1539313546,0,-20532
1539313606,0,-20653
1539313666,0,-20773
1539313726,0,-20893
1539313786,0,-21013
1539313846,0,-21133
1539313906,0,-21254
1539313966,0,-21374
1539314026,0,-21494
1539314086,0,-21614
1539314146,0,-21734
1539314206,0,-21855
1539314266,0,-21975
1539314326,0,-22095
1539314386,0,-22215
1539314446,0,-22335
1539314506,0,-22455
1539314566,0,-22576
1539314626,0,-22696
1539314686,0,-22816
1539314746,0,-22936
1539314806,0,-23056
1539314866,0,-23177
1539314926,0,-23297
1539314986,0,-23417
1539315046,0,-23537
1539315106,0,-23657
1539315166,0,-23777
1539315226,0,-23898
1539315286,0,-24018
1539315346,0,-24138
1539315406,0,-24258
1539315466,0,-24378
1539315526,0,-24499
1539315586,0,-24619
1539315646,0,-24739
1539315706,0,-24859
1539315766,0,-24979
1539315826,0,-25100
1539315886,0,-25220
1539315946,0,-25340
1539316006,0,-25460
1539316066,0,-25580
1539316126,0,-25700
1539316186,0,-25821
1539316246,0,-25941
1539316306,0,-26061
1539316366,0,-26181
1539316426,0,-26301
1539316486,0,-26422
1539316546,0,-26542
1539316606,0,-26662
1539316666,0,-26782
1539316726,0,-26902
1539316786,0,-27023
1539316846,0,-27143
1539316906,0,-27263
1539316966,0,-27383
1539317026,0,-27503
1539317086,0,-27623
1539317146,0,-27744
1539317206,0,-27864
1539317266,0,-27984
1539317326,0,-28104
1539317386,0,-28224
1539317446,0,-28345
1539317506,0,-28465
1539317566,0,-28585
1539317626,0,-28705
1539317686,0,-28825
1539317746,0,-28946
1539317806,0,-29066
1539317866,0,-29186
1539317926,0,-29306
1539317986,0,-29426
1539318046,0,-29546
1539318106,3,-29667
1539318166,0,-29787
1539318226,1,-29907
1539318286,0,-30027
1539318346,0,-30147
1539318406,1,-30268
1539318466,1,-30388
1539318493,0,-30541
1539318526,0,-30688
1539318777,0,-30617
1539318780,0,-30794
1539318826,0,-30929
1539320565,0,-29370
1539320625,0,-29490
1539320685,0,-29610
1539320745,0,-29730
1539320805,0,-29851
1539320865,0,-29971
1539320925,0,-30091
1539320985,0,-30211
1539321045,0,-30331
1539321105,0,-30452
1539321165,0,-30572
1539321225,0,-30692
1539321285,0,-30812
1539321345,0,-30932
1539321405,0,-31052
1539321465,0,-31173
1539321525,0,-31293
1539321585,0,-31413
1539321645,0,-31533
1539321705,0,-31653
1539321765,0,-31774
1539321825,0,-31894
1539321885,0,-32014
1539321945,0,-32134
1539322005,0,-32254
1539322065,0,-32375
1539322125,0,-32495
1539322185,0,-32615
1539322245,0,-32735
1539322305,0,-32855
1539322365,0,-32975
