time,value,predict
1534801427,0,1534801427
1534801432,0,4
1534801438,0,8
1534801444,0,13
1534801450,0,18
1534801455,0,22
1534801460,0,25
1534801465,0,29
1534801471,0,34
1534801476,0,38
1534801482,0,42
1534801487,0,46
1534801493,0,51
1534801499,8,56
1534801504,9,59
1534801509,9,63
1534801515,8,68
1534801520,8,72
1534801526,9,76
1534801532,9,81
1534801538,7,86
1534801544,5,91
1534801550,5,95
1534801556,18,100
1534801562,25,105
1534801567,32,109
1534801573,36,113
1534801579,20,118
1534801584,15,122
1534801590,13,126
1534801596,14,131
1534801602,13,136
1534801607,13,140
1534801612,12,143
1534801618,12,148
1534801624,10,153
1534801630,10,158
1534801636,7,162
1534801642,4,167
1534801648,0,172
1534801654,0,177
1534801660,0,181
1534801666,6,186
1534801672,5,191
1534801678,1,196
1534801684,5,200
1534801690,2,205
1534801696,1,210
1534801702,2,215
1534801708,2,219
1534801714,2,224
1534801719,2,228
1534801724,2,232
1534801730,3,236
1534801736,5,241
1534801742,0,246
1534801748,2,250
1534801754,7,255
1534801760,20,260
1534801766,0,265
1534801772,19,269
1534801778,30,274
1534801784,33,279
1534801790,32,284
1534801796,32,288
1534801802,32,293
1534801808,34,298
1534801814,32,303
1534801819,36,306
1534801825,31,311
1534801831,26,316
1534801837,13,321
1534801842,15,324
1534801847,15,328
1534801852,12,332
1534801858,13,337
1534801864,16,341
1534801870,18,346
1534801876,18,351
1534801882,17,356
1534801887,20,359
1534801892,19,363
1534801898,20,368
1534801903,20,372
1534801908,20,375
1534801914,22,380
1534801919,22,384
1534801925,23,388
1534801931,21,393
1534801937,22,398
1534801942,18,402
1534801948,19,406
1534801954,16,411
1534801960,16,416
1534801966,19,421
1534801971,19,424
1534801976,19,428
1534801982,18,433
1534801988,18,438
1534801994,20,442
1534802000,17,447
1534802006,17,452
1534802012,21,457
1534802018,16,461
1534802024,16,466
1534802030,13,471
1534802036,16,476
1534802042,15,480
1534802048,15,485
1534802054,15,490
1534802059,13,494
1534802065,13,498
1534802071,13,503
1534802076,17,507
1534802081,15,510
1534802086,15,514
1534802092,15,519
1534802098,14,524
1534802104,17,528
1534802109,17,532
1534802114,17,536
1534802120,16,541
1534802126,16,545
1534802132,13,550
1534802138,15,555
1534802144,19,560
1534802150,23,564
1534802156,20,569
1534802162,23,574
1534802168,20,579
1534802174,22,583
1534802180,25,588
1534802186,20,593
1534802191,19,597
1534802197,18,601
1534802202,18,605
1534802208,18,610
1534802213,18,614
1534802219,18,618
1534802225,20,623
1534802230,23,627
1534802236,22,631
1534802241,23,635
1534802246,20,639
1534802252,20,644
1534802258,25,648
1534802264,25,653
1534802270,27,658
1534802276,25,663
1534802282,25,667
1534802288,11,672
1534802294,8,677
1534802300,10,682
1534802306,12,686
1534802312,10,691
1534802318,10,696
1534802324,11,701
1534802330,12,705
1534802336,16,710
1534802341,16,714
1534802347,15,719
1534802352,11,722
1534802358,10,727
1534802363,9,731
1534802368,2,735
1534802374,0,739
1534802380,2,744
1534802386,1,749
1534802391,0,752
1534802396,0,756
1534802402,0,761
1534802408,0,766
1534802413,0,769
1534802419,0,774
1534802424,0,778
1534802430,0,783
1534802436,0,787
1534802441,0,791
1534802447,0,796
1534802453,0,801
1534802458,0,804
1534802464,0,809
1534802470,0,814
1534802476,0,819
1534802482,0,823
1534802488,0,828
1534802494,0,833
1534802500,1,838
1534802506,0,842
1534802511,0,846
1534802516,1,850
1534802522,0,855
1534802528,0,859
1534802534,0,864
1534802540,0,869
1534802545,0,872
1534802550,0,876
1534802556,0,881
1534802562,0,886
1534802567,0,889
1534802573,0,894
1534802578,0,898
1534802584,0,903
1534802590,0,907
1534802596,0,912
1534802601,0,916
1534802606,0,920
1534802612,0,924
1534802618,0,929
1534802624,0,934
1534802630,0,939
1534802636,0,943
1534802641,0,947
1534802647,0,952
1534802652,0,956
1534802658,0,960
1534802663,0,964
1534802668,0,968
1534802674,0,973
1534802679,0,976
1534802684,0,980
1534802690,0,985
1534802696,0,989
1534802702,0,994
1534802708,0,999
1534802714,0,1004
1534802720,0,1008
1534802726,0,1013
1534802732,0,1018
1534802738,0,1023
1534802744,2,1027
1534802750,4,1032
1534802755,4,1036
1534802761,8,1041
1534802767,5,1045
1534802772,7,1049
1534802778,7,1054
1534802784,7,1059
1534802789,8,1062
1534802794,11,1066
1534802799,10,1070
1534802804,12,1074
1534802810,16,1078
1534802815,12,1082
1534802820,11,1086
1534802826,13,1091
1534802831,12,1094
1534802837,12,1099
1534802842,11,1103
1534802847,10,1107
1534802852,9,1110
1534802858,11,1115
1534802864,6,1120
1534802869,7,1123
1534802875,6,1128
1534802880,6,1132
1534802886,8,1137
1534802891,7,1140
1534802896,7,1144
1534802902,9,1149
1534802907,11,1153
1534802912,8,1156
1534802917,12,1160
1534802923,16,1165
1534802929,17,1170
1534802935,17,1174
1534802941,16,1179
1534802947,13,1184
1534802953,15,1189
1534802959,14,1193
1534802964,16,1197
1534802969,17,1201
1534802975,14,1206
1534802981,15,1210
1534802987,11,1215
1534802993,11,1220
1534802998,8,1224
1534803004,11,1228
1534803009,12,1232
1534803015,12,1237
1534803020,12,1240
1534803026,10,1245
1534803032,11,1250
1534803038,11,1255
1534803044,10,1259
1534803050,10,1264
1534803056,12,1269
1534803062,13,1274
1534803068,12,1278
1534803074,10,1283
1534803080,15,1288
1534803085,14,1292
1534803091,16,1296
1534803096,16,1300
1534803102,18,1305
1534803107,17,1309
1534803113,20,1313
1534803119,22,1318
1534803124,20,1322
1534803130,22,1327
1534803136,22,1331
1534803141,21,1335
1534803146,20,1339
1534803152,22,1344
1534803157,23,1347
1534803162,23,1351
1534803168,18,1356
1534803174,19,1360
1534803180,18,1365
1534803185,21,1369
1534803190,23,1373
1534803195,23,1376
1534803201,23,1381
1534803206,21,1385
1534803212,9,1390
1534803218,11,1394
1534803224,13,1399
1534803229,11,1403
1534803234,8,1407
1534803240,11,1411
1534803246,10,1416
1534803251,11,1420
1534803257,10,1425
1534803262,14,1428
1534803268,11,1433
1534803274,4,1438
1534803279,0,1442
1534803284,0,1445
1534803290,4,1450
1534803296,10,1455
1534803301,13,1459
1534803307,17,1463
1534803313,15,1468
1534803318,15,1472
1534803323,15,1475
1534803329,12,1480
1534803334,0,1484
1534803339,0,1488
1534803345,8,1492
1534803351,8,1497
1534803357,2,1502
1534803363,4,1507
1534803368,2,1510
1534803374,0,1515
1534803380,0,1520
1534803386,0,1525
1534803392,0,1529
1534803398,0,1534
1534803404,0,1539
1534803409,0,1543
1534803415,0,1547
1534803421,0,1552
1534803426,3,1556
1534803431,5,1560
1534803437,8,1564
1534803443,11,1569
1534803449,11,1574
1534803455,15,1579
1534803461,15,1583
1534803466,15,1587
1534803471,15,1591
1534803476,14,1594
1534803482,16,1599
1534803487,16,1603
1534803493,15,1608
1534803498,20,1611
1534803504,17,1616
1534803510,14,1621
1534803516,15,1626
1534803522,16,1630
1534803528,17,1635
1534803533,16,1639
1534803539,18,1644
1534803545,12,1648
1534803550,0,1652
1534803556,0,1657
1534803561,0,1661
1534803566,0,1664
1534803572,9,1669
1534803577,13,1673
1534803583,15,1678
1534803588,12,1681
1534803593,15,1685
1534803599,15,1690
1534803599,1,1689
1534803604,14,1692
1534803605,0,1692
1534803610,14,1696
1534803610,4,1695
1534803616,14,1699
1534803616,1,1698
1534803619,0,1700
1534803621,16,1700
1534803625,0,1703
1534803626,16,1703
1534803631,16,1707
1534803631,0,1705
1534803637,16,1710
1534803637,0,1709
1534803642,15,1713
1534803642,0,1711
1534803648,15,1716
1534803648,0,1715
1534803653,14,1719
1534803653,0,1717
1534803658,15,1721
1534803658,0,1720
1534803663,0,1724
1534803664,17,1723
1534803669,0,1727
1534803670,14,1727
1534803674,0,1730
1534803676,14,1730
1534803679,0,1732
1534803681,17,1733
1534803685,0,1736
1534803687,22,1736
1534803691,0,1739
1534803693,18,1740
1534803697,0,1742
1534803699,22,1743
1534803703,0,1746
1534803704,23,1746
1534803709,37,1749
1534803709,0,1748
1534803714,0,1752
1534803715,40,1752
1534803720,32,1755
1534803720,0,1754
1534803726,36,1759
1534803726,0,1758
1534803732,32,1762
1534803732,0,1761
1534803737,25,1765
1534803737,0,1764
1534803742,0,1767
1534803743,40,1767
1534803748,0,1771
1534803749,38,1771
1534803754,16,1774
1534803754,0,1773
1534803759,0,1777
1534803760,21,1777
1534803765,20,1780
1534803765,0,1779
1534803770,14,1783
1534803770,0,1781
1534803775,0,1785
1534803776,10,1785
1534803781,0,1789
1534803787,20,1793
1534803787,0,1792
1534803792,8,1796
1534803792,0,1795
1534803798,8,1799
1534803798,0,1798
1534803803,10,1802
1534803804,0,1802
1534803809,10,1805
1534803810,0,1805
1534803814,10,1808
1534803816,0,1809
1534803820,10,1811
1534803821,0,1811
1534803825,10,1814
1534803827,0,1815
1534803831,10,1817
1534803833,0,1818
1534803836,10,1820
1534803838,0,1821
1534803844,0,1825
1534803848,8,1828
1534803850,0,1829
1534803854,9,1831
1534803856,0,1832
1534803860,8,1835
1534803861,0,1835
1534803866,10,1838
1534803867,0,1838
