time,value,predict
1646315228,-26,1646315228
1646315471,47,-81
1646315812,36,-63
1646316011,33,-188
1646316915,39,392
1646317029,17,182
1646317803,17,633
1646317977,33,483
1646318154,17,336
1646318666,17,524
1646318734,17,269
1646318913,61,124
1646319365,44,252
1646319370,43,-66
1646319764,38,4
1646320452,18,368
1646320959,17,551
1646321054,65,323
1646321167,33,112
1646321853,44,474
1646321862,35,160
1646322059,63,33
1646322702,38,352
1646322742,62,68
1646322972,38,-25
1646322988,63,-333
1646323778,35,133
1646323796,35,-173
1646324594,44,302
1646325341,17,725
1646325347,38,407
1646326371,45,1108
1646326907,60,1320
1646327293,35,1382
1646327639,35,1404
1646327921,34,1363
1646327959,38,1077
1646328292,59,1086
1646328458,33,928
1646328983,33,1130
1646329032,33,855
1646329678,19,1177
1646329774,19,950
1646330240,52,1092
1646330863,19,1391
1646330974,38,1178
1646332261,47,2142
1646332677,38,2234
1646332696,54,1929
1646332990,17,1900
1646333119,19,1705
1646333401,37,1663
1646333917,-27,1855
1646333956,61,1571
1646334051,-27,1342
1646334190,61,1157
1646334435,38,1078
1646334544,38,864
1646334748,19,744
1646334895,51,567
1646335080,37,429
1646335245,35,270
1646335373,38,74
1646335517,17,-106
1646335591,38,-355
1646337130,36,860
1646337178,38,584
1646337223,34,305
1646337225,36,-16
1646337419,38,-146
1646337439,37,-450
1646337803,38,-409
1646338072,33,-464
1646338116,38,-744
1646338184,38,-1000
1646339368,38,-139
1646339398,46,-433
1646339408,35,-747
1646339855,33,-623
1646340133,35,-669
1646340213,18,-913
1646340508,35,-942
1646340535,17,-1238
1646340624,38,-1473
1646340796,-27,-1625
1646340990,64,-1755
1646341037,51,-2031
1646341143,38,-2249
1646341264,5,-2452
1646342144,36,-1895
1646342336,-7,-2027
1646342590,19,-2097
1646342645,62,-2366
1646343034,37,-2300
1646343038,62,-2620
1646343499,38,-2483
1646343953,46,-2352
1646344892,63,-1737
1646345331,61,-1622
1646345500,38,-1777
1646345553,33,-2047
1646345756,33,-2168
1646346201,63,-2047
1646346222,38,-2350
1646346304,36,-2591
1646347053,17,-2166
1646347555,59,-1988
1646347626,17,-2240
1646347788,37,-2402
1646347810,19,-2704
1646348163,38,-2675
1646348195,38,-2966
1646348449,-9,-3036
1646348914,0,-2895
1646349631,44,-2502
1646350730,64,-1726
